cod,nombre,categoria,tipo_dep,lat,lon,vecino_cod,vecino_nombre,vecino_cat,vecino_tipo_dep,vecino_lat,vecino_lon,dist_km,tipo_red,linea
00002,KM. 40.0 (VALSEQUILLO),S,Apeadero,38.4131863683563,-5.34852456602894,00003,LA GRANJUELA - KM. 45.9,S,Apartadero,38.3673622496071,-5.34038858834965,6.0,Resto,528-ALMORCHON-MIRABUENO
00002,KM. 40.0 (VALSEQUILLO),S,Apeadero,38.4131863683563,-5.34852456602894,37400,ALMORCHON,P,Túnel,38.6965995854468,-5.2904191096938,40.0,Resto,528-ALMORCHON-MIRABUENO
00003,LA GRANJUELA - KM. 45.9,S,Apartadero,38.3673622496071,-5.34038858834965,00002,KM. 40.0 (VALSEQUILLO),S,Apeadero,38.4131863683563,-5.34852456602894,6.0,Resto,528-ALMORCHON-MIRABUENO
00003,LA GRANJUELA - KM. 45.9,S,Apartadero,38.3673622496071,-5.34038858834965,00004,EL PORVENIR ( APD ),S,Apartadero,38.3006343915907,-5.28797676288853,9.6,Resto,528-ALMORCHON-MIRABUENO
00004,EL PORVENIR ( APD ),S,Apartadero,38.3006343915907,-5.28797676288853,00005,PEÑARROYA - PUEBLONUEVO,S,Apeadero,38.2919324075736,-5.27450877254534,0.9,Resto,528-ALMORCHON-MIRABUENO
00004,EL PORVENIR ( APD ),S,Apartadero,38.3006343915907,-5.28797676288853,00003,LA GRANJUELA - KM. 45.9,S,Apartadero,38.3673622496071,-5.34038858834965,9.6,Resto,528-ALMORCHON-MIRABUENO
00005,PEÑARROYA - PUEBLONUEVO,S,Apeadero,38.2919324075736,-5.27450877254534,00004,EL PORVENIR ( APD ),S,Apartadero,38.3006343915907,-5.28797676288853,0.9,Resto,528-ALMORCHON-MIRABUENO
00005,PEÑARROYA - PUEBLONUEVO,S,Apeadero,38.2919324075736,-5.27450877254534,00006,BELMEZ,S,Apartadero,38.2631353813833,-5.2085346103677,6.9,Resto,528-ALMORCHON-MIRABUENO
00006,BELMEZ,S,Apartadero,38.2631353813833,-5.2085346103677,00005,PEÑARROYA - PUEBLONUEVO,S,Apeadero,38.2919324075736,-5.27450877254534,6.9,Resto,528-ALMORCHON-MIRABUENO
00006,BELMEZ,S,Apartadero,38.2631353813833,-5.2085346103677,00007,VILLANUEVA DEL REY (APD),S,Punto KM,38.2293554539466,-5.12219938686763,9.1,Resto,528-ALMORCHON-MIRABUENO
00007,VILLANUEVA DEL REY (APD),S,Punto KM,38.2293554539466,-5.12219938686763,00006,BELMEZ,S,Apartadero,38.2631353813833,-5.2085346103677,9.1,Resto,528-ALMORCHON-MIRABUENO
00007,VILLANUEVA DEL REY (APD),S,Punto KM,38.2293554539466,-5.12219938686763,00008,ESPIEL,S,Apartadero,38.1766020161297,-5.04687652759888,10.0,Resto,528-ALMORCHON-MIRABUENO
00008,ESPIEL,S,Apartadero,38.1766020161297,-5.04687652759888,00007,VILLANUEVA DEL REY (APD),S,Punto KM,38.2293554539466,-5.12219938686763,10.0,Resto,528-ALMORCHON-MIRABUENO
00008,ESPIEL,S,Apartadero,38.1766020161297,-5.04687652759888,00010,ALHONDIGUILLA-VILLAVICIOSA,S,Estación,38.1195893304568,-4.94990541302099,11.1,Resto,528-ALMORCHON-MIRABUENO
00010,ALHONDIGUILLA-VILLAVICIOSA,S,Estación,38.1195893304568,-4.94990541302099,00012,EL PARRALEJO ( CGD ),S,Garita,38.1164077017489,-4.94188924572173,0.8,Resto,528-ALMORCHON-MIRABUENO
00010,ALHONDIGUILLA-VILLAVICIOSA,S,Estación,38.1195893304568,-4.94990541302099,00008,ESPIEL,S,Apartadero,38.1766020161297,-5.04687652759888,11.1,Resto,528-ALMORCHON-MIRABUENO
00012,EL PARRALEJO ( CGD ),S,Garita,38.1164077017489,-4.94188924572173,00010,ALHONDIGUILLA-VILLAVICIOSA,S,Estación,38.1195893304568,-4.94990541302099,0.8,Resto,528-ALMORCHON-MIRABUENO
00012,EL PARRALEJO ( CGD ),S,Garita,38.1164077017489,-4.94188924572173,00013,EL VACAR - VILLAHARTA,S,Apeadero,38.0768245069927,-4.85302616174177,9.4,Resto,528-ALMORCHON-MIRABUENO
00013,EL VACAR - VILLAHARTA,S,Apeadero,38.0768245069927,-4.85302616174177,00014,OBEJO,S,Apeadero,38.0258187489291,-4.78949192766565,8.2,Resto,528-ALMORCHON-MIRABUENO
00013,EL VACAR - VILLAHARTA,S,Apeadero,38.0768245069927,-4.85302616174177,00012,EL PARRALEJO ( CGD ),S,Garita,38.1164077017489,-4.94188924572173,9.4,Resto,528-ALMORCHON-MIRABUENO
00014,OBEJO,S,Apeadero,38.0258187489291,-4.78949192766565,00015,CERRO MURIANO,S,Estación,38.0020361087565,-4.76944770113016,3.5,Resto,528-ALMORCHON-MIRABUENO
00014,OBEJO,S,Apeadero,38.0258187489291,-4.78949192766565,00013,EL VACAR - VILLAHARTA,S,Apeadero,38.0768245069927,-4.85302616174177,8.2,Resto,528-ALMORCHON-MIRABUENO
00015,CERRO MURIANO,S,Estación,38.0020361087565,-4.76944770113016,00014,OBEJO,S,Apeadero,38.0258187489291,-4.78949192766565,3.5,Resto,528-ALMORCHON-MIRABUENO
00015,CERRO MURIANO,S,Estación,38.0020361087565,-4.76944770113016,00016,BALANZONA,S,Túnel,37.9737352868361,-4.75891576261637,6.3,Resto,528-ALMORCHON-MIRABUENO
00016,BALANZONA,S,Túnel,37.9737352868361,-4.75891576261637,00015,CERRO MURIANO,S,Estación,38.0020361087565,-4.76944770113016,6.3,Resto,528-ALMORCHON-MIRABUENO
00016,BALANZONA,S,Túnel,37.9737352868361,-4.75891576261637,00017,LOS PRADILLOS,S,Estación,37.9192343956757,-4.767574311649,7.6,Resto,528-ALMORCHON-MIRABUENO
00017,LOS PRADILLOS,S,Estación,37.9192343956757,-4.767574311649,00018,MIRABUENO,S,Estación,37.9148909623569,-4.77342889441022,0.7,Resto,528-ALMORCHON-MIRABUENO
