cod,nombre,categoria,tipo_dep,tipo_dep_cod,estado,titular,lat,lon,conectado,n_conexiones
B0602,BIF. CANAL DEL DUERO,S,Fin de línea,F,FS,AD,41.6972431861886,-4.67855377116181,NO,0
B1505,BIF. GRIJOTA,S,Bifurcación,B,EX,AD,42.0403633674337,-4.57055118053831,SI,2
C5441,KM 59.560,S,Cargadero,K,EX,AV,37.1363549964352,-4.21839658583821,SI,2
C5442,KM 86.520,S,Cargadero,K,EX,AD,37.232504046527,-3.98196925595885,SI,2
46A06,CENTRO TRATAMIENTO TECNICO VALENCIA FUENTE S. LUIS,S,Otro,O,EX,AD,39.4415564956113,-0.375689239720212,SI,2
80113,CAPARROSO,S,Túnel,T,EX,AD,42.3808863639216,-1.6451197127018,SI,2
33004,ROBLIZA (APD),S,Apartadero,Y,FS,AD,40.8813130820355,-5.98132923617038,SI,2
57003,IZNALLOZ,P,Túnel,T,EX,AD,37.3958776469817,-3.52788503735195,SI,2
57004,DEIFONTES,S,Túnel,T,EX,AD,37.3325964351588,-3.59650454039289,SI,2
57005,CALICASAS,S,Apartadero,Y,FS,AD,37.2908528554019,-3.66030628624367,SI,2
55001,CAMPILLOS,P,Apeadero,A,EX,AD,37.0321883086903,-4.86351165250712,SI,2
55002,TEBA (APD),S,Apartadero,Y,FS,AD,36.9945649782244,-4.92396826136573,SI,2
55005,SETENIL,P,Túnel,T,EX,AD,36.8624474515066,-5.12111402228989,SI,2
55010,BENAOJAN-MONTEJAQUE,P,Túnel,T,EX,AD,36.7137657440758,-5.24640150105862,SI,2
10201,SAN YAGO (APD),P,Punto KM,P,EX,AD,40.617857039112,-4.03111419148919,SI,2
22109,SALVATERRA,P,Túnel,T,EX,AD,42.0816024745733,-8.49521972420112,SI,2
22107,SELA (APD),P,Punto KM,P,EX,AD,42.0920415993558,-8.35598992580336,SI,2
22105,POUSA-CRECENTE (APD),P,Punto KM,P,EX,AD,42.1366713028804,-8.23491295663729,SI,2
22103,FILGUEIRA,P,Túnel,T,EX,AD,42.2199248153649,-8.18479219476023,SI,2
22108,AS NEVES,P,Túnel,T,EX,AD,42.0754460733044,-8.42011033299789,SI,2
22106,ARBO,P,Túnel,T,EX,AD,42.1070011751459,-8.30020542940331,SI,2
22104,FRIEIRA,P,Túnel,T,EX,AD,42.1548724603615,-8.2010382807622,SI,2
22203,AS GANDARAS,S,Estación,E,EX,AD,42.1101465964625,-8.62239306179703,SI,2
22201,O PORRIÑO,P,Túnel,T,EX,AD,42.1640735621258,-8.62199331258832,SI,2
22202,LOUREDO-VALOS,S,Túnel,T,EX,AD,42.234370417792,-8.59673382670591,SI,2
22302,CHAPELA (APD),S,Fin de línea,F,FS,AD,42.2681580107725,-8.6708826978235,NO,0
34002,CARDEÑOSA DE AVILA,P,Túnel,T,EX,AD,40.7391905281845,-4.75079750367474,SI,2
21007,BARALLOBRE (APD),P,Punto KM,P,EX,AD,43.4628811301127,-8.18861629302514,SI,2
A7229,CASTELLBISBAL-AGUJAS MOLINS,S,Bifurcación,B,EX,AD,41.4438970400872,1.99299938506089,SI,4
A5440,"MALAGA-AG.K191,4",S,Fin de línea,F,FS,AD,36.707180881578,-4.44157242589929,NO,0
37105,MANZANEQUE,S,Fin de línea,F,FS,AD,39.6347213156854,-3.80246085570906,NO,0
98305,AEROPUERTO-T4,S,Túnel,T,EX,AD,40.4924012430595,-3.59331044440918,SI,1
60911,ALACANT-TERMINAL,P,Estación,E,EX,AV,38.3445933673272,-0.495519555091917,SI,3
62105,ALACANT-BENALUA (CGD),S,Fin de línea,F,FS,AD,38.3377391100131,-0.493869524161477,NO,0
62001,BENIEL,P,Túnel,T,EX,AD,38.0447631176641,-0.999541584561299,SI,3
62002,ORIHUELA - MIGUEL HERNANDEZ,P,Túnel,T,EX,AD,38.077884126347,-0.944536601261412,SI,3
B0802,BIF. CAMBIADOR VALDESTILLAS,S,Bifurcación,B,EX,AV,41.4758771082847,-4.78479188277868,SI,3
C0809,"KM. 51,878",S,Cargadero,K,EX,AV,40.8510391254791,-3.91446710099452,SI,2
08004,SEGOVIA-GUIOMAR,P,Estación,E,EX,AV,40.9101849914655,-4.09486770240391,SI,2
C0812,"PK KM. 126,7",S,Cargadero,K,EX,AV,41.2307812248031,-4.61559097680813,SI,2
08009,VALDESTILLAS-A.V.,S,Estación,E,EX,AV,41.4610541371054,-4.79142061213817,SI,2
04007,GUADALAJARA-YEBES,P,Estación,E,EX,AV,40.5865201813872,-3.12650137024647,SI,2
C4002,"PK KM. 174,7",S,Cargadero,K,EX,AV,41.2034199960793,-2.14736195959642,SI,2
04030,GUALLAR,S,Estación,E,EX,AV,41.6561869613263,-1.0797837247921,SI,2
84100,COSCURITA,S,Punto KM,P,EX,AD,41.4399204377535,-2.46981461925259,SI,2
83009,CERVERA DEL RIO ALHAMA,S,Fin de línea,F,FS,AD,41.9786776960562,-1.86190491064018,NO,0
82100,SORIA,P,Estación,E,EX,AD,41.7552068621858,-2.47549778456111,SI,1
74207,SANTA MARIA Y LA PEÑA,P,Túnel,T,EX,AD,42.3803321147716,-0.695861382255671,SI,2
18102,"KM. 3,237",S,Cargadero,K,FS,AD,40.4271744324776,-3.69627945669243,SI,2
60401,ALCAZAR DE SAN JUAN E.C.,S,Apartadero,Y,FS,AD,39.395697282915,-3.20569466724141,SI,2
A0320,"BIF. JESUS-AGUJA KM. 396,7",S,Bifurcación,B,EX,AV,39.4543779004877,-0.381402179211209,SI,3
B4044,P. T. ZARAGOZA SUR,S,Estación,E,EX,AV,41.6510861408363,-0.894732815857062,SI,2
71908,RIU LLOBREGAT,S,Estación,E,EX,AD,41.4117337748349,2.00879253583186,SI,2
A7223,"AGUJA KM. 23,2",S,Fin de línea,F,FS,AD,41.5254403370758,2.18482464609788,NO,0
75112,GUARDIA DE TREMP (APD),P,Punto KM,P,EX,CA,42.101419684852,0.888155631751245,NO,0
34008,NARROS DEL CASTILLO (APD),P,Punto KM,P,EX,AD,40.8665712888607,-5.05280597698396,SI,2
67012,PUERTO DEL ALTO,S,Apartadero,Y,FS,AD,41.2388109697081,-1.26026223082037,SI,2
67203,PUEBLA DE VALVERDE,P,Túnel,T,EX,AD,40.2134335244929,-0.944616776658834,SI,2
67204,POZO DEL FRAILE,S,Apartadero,Y,FS,AD,40.1810346489278,-0.904747838494303,SI,2
67205,SARRION,P,Túnel,T,EX,AD,40.1462382080793,-0.823414874718275,SI,2
67206,MORA DE RUBIELOS (APT-CGD),P,Apeadero,A,EX,AD,40.1179371921987,-0.773381539805655,SI,2
40105,LLERENA,P,Túnel,T,EX,AD,38.2376630101653,-6.00980158314342,SI,2
40107,FUENTE DEL ARCO (APD),P,Punto KM,P,EX,AD,38.1635428735927,-5.90053485073336,SI,2
40115,PEDROSO,P,Apeadero,A,EX,AD,37.8373131460297,-5.76242971971498,SI,2
