"","Adrada (La)","Mombeltrán","Arévalo","Ávila","Barco de Ávila (El)","Navaluenga","Candeleda","Cebreros","Carpio","Espinar (El)","Piedrahíta","Burgos","Aranda de Duero","Belorado","Briviesca","Miranda de Ebro","Villarcayo de Merindad de Castilla la Vieja","Huerta de Rey","Lerma","Melgar de Fernamental","Merindad de Río Ubierna","Trespaderne","Duruelo de la Sierra","Roa","Salas de los Infantes","Villadiego","Valle de Mena","San Justo de la Vega","Bañeza (La)","Folgoso de la Ribera","Santa Marina del Rey","Sabero","Cubillos del Sil","Villadecanes","Santovenia de la Valdoncina","Villaquilambre","Vega de Espinareda","Gradefes","Villamañán","Villasabariego","Pola de Gordón (La)","Palacios del Sil","Puente de Domingo Flórez","Villada","Valderas","Velilla del Río Carrión","Barruelo de Santullán","Herrera de Pisuerga","Torquemada","Carrión de los Condes","Cervera de Pisuerga","Venta de Baños","Palencia","Paredes de Nava","Saldaña","Terradillos","Alberca (La)","Aldeadávila de la Ribera","Salamanca","Béjar","Villoria","Ciudad Rodrigo","Fuente de San Esteban (La)","Fuentes de Oñoro","Guijuelo","Ledesma","Lumbrales","Peñaranda de Bracamonte","Vitigudino","Mozoncillo","Cantalejo","Carbonero el Mayor","Nava de la Asunción","Campaspero","San Cristóbal de Segovia","Ólvega","Almazán","Arcos de Jalón","Berlanga de Duero","Burgo de Osma-Ciudad de Osma","Soria","San Leonardo de Yagüe","Pedraja de Portillo (La)","Zaratán","Viana de Cega","Santovenia de Pisuerga","Pedrajas de San Esteban","Seca (La)","Villabrágima","Traspinedo","Trabazos","Benavente","Bermillo de Sayago","Villaralbo","Fermoselle","Fuentesaúco","Puebla de Sanabria","Toro","Santibáñez de Vidriales","Villalpando"
"Adrada (La)",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mombeltrán",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arévalo",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ávila",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barco de Ávila (El)",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navaluenga",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candeleda",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cebreros",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpio",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"Espinar (El)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
