,Degree Centrality,Closeness Centrality,Betweenness Centrality,Degree,Clustering Coefficient
Adrada (La),0.04040404040404041,0.15022761760242792,0.015684926029814972,4,0.6666666666666666
Mombeltrán,0.05050505050505051,0.14473684210526316,0.02991234120199539,5,0.4
Arévalo,0.06060606060606061,0.22,0.10822786570944716,6,0.4
Ávila,0.04040404040404041,0.16555183946488294,0.028157188873135335,4,0.6666666666666666
Barco de Ávila (El),0.05050505050505051,0.14842578710644677,0.016879030978465215,5,0.6
Navaluenga,0.04040404040404041,0.15022761760242792,0.015684926029814972,4,0.6666666666666666
Candeleda,0.030303030303030304,0.1354309165526676,0.0,3,1.0
Cebreros,0.04040404040404041,0.16555183946488294,0.028157188873135335,4,0.6666666666666666
Carpio,0.06060606060606061,0.2214765100671141,0.05784303077578505,6,0.4666666666666667
Espinar (El),0.04040404040404041,0.18857142857142858,0.08787488167754105,4,0.3333333333333333
Piedrahíta,0.05050505050505051,0.14842578710644677,0.016879030978465215,5,0.6
Burgos,0.05050505050505051,0.1853932584269663,0.11983971753493619,5,0.4
Aranda de Duero,0.04040404040404041,0.1793478260869565,0.014611622111462696,4,0.3333333333333333
Belorado,0.05050505050505051,0.1630971993410214,0.044987738957216326,5,0.4
Briviesca,0.05050505050505051,0.16097560975609757,0.013569201301740467,5,0.6
Miranda de Ebro,0.030303030303030304,0.14163090128755365,0.001250378152047911,3,0.6666666666666666
Villarcayo de Merindad de Castilla la Vieja,0.030303030303030304,0.14754098360655737,0.008057898019829106,3,0.6666666666666666
Huerta de Rey,0.06060606060606061,0.16694772344013492,0.02770231571483964,6,0.4666666666666667
Lerma,0.05050505050505051,0.19111969111969113,0.12906950447017393,5,0.3
Melgar de Fernamental,0.05050505050505051,0.19879518072289157,0.07416517834248748,5,0.5
Merindad de Río Ubierna,0.06060606060606061,0.17157712305025996,0.07347247402721331,6,0.4
Trespaderne,0.05050505050505051,0.14798206278026907,0.013844210089175558,5,0.4
