,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Adrada (La),0.04040404040404041,0.15022761760242792,0.015684926029814972,0.001729653288612205,0.6666666666666666,1
Mombeltrán,0.05050505050505051,0.14473684210526316,0.02991234120199539,0.0007737468971363431,0.4,0
Arévalo,0.06060606060606061,0.22,0.10822786570944716,0.15621527894217166,0.4,0
Ávila,0.04040404040404041,0.16555183946488294,0.028157188873135335,0.005020731390753488,0.6666666666666666,1
Barco de Ávila (El),0.05050505050505051,0.14842578710644677,0.016879030978465215,0.0008989801785376172,0.6,1
Navaluenga,0.04040404040404041,0.15022761760242792,0.015684926029814972,0.001729653288612205,0.6666666666666666,1
Candeleda,0.030303030303030304,0.1354309165526676,0.0,0.00035458034936292716,1.0,1
Cebreros,0.04040404040404041,0.16555183946488294,0.028157188873135335,0.005020731390753488,0.6666666666666666,1
Carpio,0.06060606060606061,0.2214765100671141,0.05784303077578505,0.09739072385763543,0.4666666666666667,0
Espinar (El),0.04040404040404041,0.18857142857142858,0.08787488167754105,0.02793440778526219,0.3333333333333333,0
Piedrahíta,0.05050505050505051,0.14842578710644677,0.016879030978465215,0.0008989801785376172,0.6,1
Burgos,0.05050505050505051,0.1853932584269663,0.11983971753493619,0.002150451981246769,0.4,0
Aranda de Duero,0.04040404040404041,0.1793478260869565,0.014611622111462696,0.006119661881193475,0.3333333333333333,0
Belorado,0.05050505050505051,0.1630971993410214,0.044987738957216326,0.0008502396387467571,0.4,0
Briviesca,0.05050505050505051,0.16097560975609757,0.013569201301740467,0.0007230988330281334,0.6,1
Miranda de Ebro,0.030303030303030304,0.14163090128755365,0.001250378152047911,0.0002728515745481707,0.6666666666666666,1
Villarcayo de Merindad de Castilla la Vieja,0.030303030303030304,0.14754098360655737,0.008057898019829106,0.00028486616021330014,0.6666666666666666,1
Huerta de Rey,0.06060606060606061,0.16694772344013492,0.02770231571483964,0.0023126462305495038,0.4666666666666667,0
Lerma,0.05050505050505051,0.19111969111969113,0.12906950447017393,0.0055198503148167115,0.3,0
Melgar de Fernamental,0.05050505050505051,0.19879518072289157,0.07416517834248748,0.02652993788667351,0.5,0
Merindad de Río Ubierna,0.06060606060606061,0.17157712305025996,0.07347247402721331,0.0015652673224190198,0.4,0
Trespaderne,0.05050505050505051,0.14798206278026907,0.013844210089175558,0.00040554928851425795,0.4,0
Duruelo de la Sierra,0.05050505050505051,0.1544461778471139,0.046473387930188036,0.0009192007629186639,0.5,0
Roa,0.030303030303030304,0.198,0.10470977601445666,0.0279968057283496,0.3333333333333333,0
Salas de los Infantes,0.05050505050505051,0.16751269035532995,0.054085987274268686,0.0014548273163377547,0.4,0
Villadiego,0.04040404040404041,0.18435754189944134,0.13711558609309193,0.006938036971351027,0.3333333333333333,0
Valle de Mena,0.020202020202020204,0.12924281984334204,0.0,9.519605386575458e-05,1.0,1
San Justo de la Vega,0.07070707070707072,0.1774193548387097,0.07197131853774684,0.016894676761263706,0.5238095238095238,0
Bañeza (La),0.06060606060606061,0.18333333333333332,0.016617353323925936,0.015701355276719627,0.6,1
Folgoso de la Ribera,0.06060606060606061,0.15492957746478872,0.13275613275613274,0.006012897167662991,0.4666666666666667,0
Santa Marina del Rey,0.08080808080808081,0.17773788150807898,0.08136614477193532,0.020573612519191556,0.5714285714285714,0
Sabero,0.05050505050505051,0.1686541737649063,0.002099475800774502,0.013195088454495626,0.7,1
Cubillos del Sil,0.05050505050505051,0.13598901098901098,0.019377447948876518,0.001550448370014751,0.8,1
