p_pct,S_rel,num_components
0,1.0,1
1,0.99,1
2,0.98,1
3,0.97,1
4,0.96,1
5,0.95,1
6,0.54,2
7,0.53,2
8,0.52,2
9,0.4,3
10,0.39,3
11,0.39,3
12,0.39,3
13,0.39,4
14,0.31,5
15,0.23,6
16,0.22,6
17,0.22,7
18,0.21,7
19,0.17,8
20,0.16,8
21,0.14,9
22,0.13,9
23,0.1,10
24,0.1,10
25,0.1,11
26,0.1,12
27,0.1,13
28,0.1,14
29,0.1,14
30,0.1,16
31,0.09,16
32,0.08,16
33,0.07,17
34,0.07,17
35,0.07,18
36,0.07,18
37,0.07,19
38,0.07,20
39,0.07,21
40,0.07,22
41,0.06,22
42,0.05,23
43,0.05,23
44,0.05,24
45,0.05,25
46,0.04,25
47,0.04,26
48,0.04,27
49,0.04,27
