p_pct,S_rel,num_components
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,1.0,1
8,0.77,2
9,0.69,4
10,0.69,4
11,0.69,4
12,0.69,4
13,0.69,4
14,0.69,5
15,0.69,5
16,0.69,5
17,0.69,6
18,0.69,6
19,0.69,6
20,0.69,6
21,0.69,6
22,0.69,6
23,0.69,6
24,0.69,6
25,0.69,7
26,0.67,8
27,0.67,8
28,0.39,9
29,0.39,9
30,0.39,9
31,0.39,9
32,0.39,9
33,0.39,9
34,0.39,10
35,0.39,10
36,0.39,10
37,0.37,12
38,0.37,14
39,0.37,15
40,0.37,15
41,0.37,16
42,0.37,16
43,0.37,17
44,0.37,19
45,0.36,20
46,0.36,21
47,0.36,21
48,0.36,21
49,0.36,22
