p_pct,S_rel,n_components
0,1.0,1
1,0.99,1
2,0.98,1
3,0.97,1
4,0.96,1
5,0.95,1
6,0.94,1
7,0.93,1
8,0.92,1
9,0.91,1
10,0.83,2
11,0.82,2
12,0.81,2
13,0.8,2
14,0.79,2
15,0.78,2
16,0.77,2
17,0.76,2
18,0.75,2
19,0.55,3
20,0.54,3
21,0.33,4
22,0.33,4
23,0.28,5
24,0.28,5
25,0.27,5
26,0.19,6
27,0.19,6
28,0.19,6
29,0.19,6
30,0.19,6
31,0.19,6
32,0.19,6
33,0.19,6
34,0.19,6
35,0.19,6
36,0.19,6
37,0.19,7
38,0.18,7
39,0.18,7
40,0.18,7
41,0.18,8
42,0.18,8
43,0.18,8
44,0.18,9
45,0.18,9
46,0.18,10
47,0.13,11
48,0.13,12
49,0.13,12
