Removal Fraction (%),Largest Connected Component Size,Number of Components,Diameter of Largest Component
0,100,1,17
1,99,1,17
2,98,1,17
3,97,1,17
4,96,1,17
5,95,1,17
6,94,1,17
7,93,1,17
8,92,1,18
9,91,1,18
10,90,1,18
11,89,1,18
12,88,1,18
13,87,1,18
14,78,2,15
15,77,2,15
16,76,2,17
17,75,2,17
18,74,2,17
19,73,2,17
20,72,2,17
21,71,2,17
22,70,2,17
23,69,2,17
24,68,2,17
25,67,2,17
26,67,2,17
27,66,2,17
28,61,3,17
29,61,3,17
30,59,3,23
31,58,3,24
32,57,3,24
33,56,3,24
34,55,3,24
35,49,4,20
36,30,5,11
37,30,5,11
38,30,6,11
39,26,7,12
40,20,8,9
41,20,8,9
42,19,8,9
43,19,9,9
44,19,10,9
45,18,10,10
46,17,10,10
47,17,10,10
48,17,10,10
49,17,10,10
