Largest Connected Component Size,Number of Components,Diameter of Largest Component
87,1,17
87,1,23
82,3,14
87,1,16
87,1,21
86,2,17
87,1,17
87,1,18
87,1,18
86,2,17
85,2,15
87,1,20
87,1,17
80,4,14
86,2,15
80,4,16
85,3,17
86,2,17
86,2,17
81,2,14
83,2,17
87,1,17
87,1,18
85,3,18
87,1,20
86,2,17
81,3,14
86,2,15
87,1,17
75,3,18
86,2,20
86,2,16
80,3,14
84,3,17
87,1,17
80,2,19
87,1,17
85,3,16
83,3,17
81,3,14
86,2,18
86,2,18
87,1,17
86,2,16
81,2,15
87,1,17
86,2,19
87,1,17
81,3,16
87,1,18
86,2,16
85,3,17
87,1,16
87,1,17
87,1,17
82,4,14
87,1,16
87,1,20
81,3,15
84,3,14
86,2,16
87,1,16
87,1,17
87,1,20
81,2,14
87,1,16
86,2,16
79,4,14
69,2,17
79,3,16
87,1,16
83,3,17
86,2,15
86,2,18
86,2,19
87,1,18
80,2,15
87,1,16
65,2,15
80,2,14
87,1,17
87,1,18
86,2,19
79,3,15
87,1,17
87,1,17
81,2,15
83,2,14
87,1,18
68,2,13
87,1,17
86,2,21
86,2,17
80,2,15
83,2,15
79,3,15
80,3,15
79,2,15
82,3,18
87,1,18
87,1,18
87,1,20
87,1,18
86,2,16
86,2,18
86,2,17
81,2,15
87,1,16
87,1,17
87,1,16
87,1,17
86,2,16
83,2,18
87,1,18
86,2,15
81,2,18
81,2,15
85,2,15
87,1,16
80,3,15
85,2,14
81,3,14
81,3,16
76,3,13
87,1,17
81,3,15
80,2,16
85,2,17
87,1,19
80,2,14
86,2,16
87,1,19
80,2,15
87,1,19
81,2,14
80,2,14
87,1,19
86,2,15
83,2,18
85,2,15
87,1,18
85,3,14
86,2,17
83,4,14
87,1,16
84,3,19
87,1,18
83,4,15
87,1,18
87,1,17
63,2,17
80,3,14
86,2,17
85,3,15
78,4,14
87,1,17
85,2,14
86,2,17
85,2,14
86,2,17
76,3,15
84,4,17
82,3,14
87,1,22
87,1,20
87,1,17
87,1,17
82,2,15
84,3,15
86,2,15
85,3,17
80,2,14
79,3,14
86,2,18
87,1,18
86,2,17
86,2,16
79,3,14
85,3,15
86,2,22
87,1,17
76,3,18
87,1,18
86,2,16
87,1,17
87,1,17
87,1,17
85,2,15
82,2,16
87,1,18
78,4,13
86,2,17
85,2,16
86,2,15
76,3,18
85,2,14
84,2,17
87,1,17
87,1,18
80,2,17
87,1,18
87,1,16
86,2,20
74,3,15
86,2,16
87,1,17
84,3,15
87,1,21
87,1,18
81,2,17
70,2,14
84,2,17
82,2,15
85,2,19
81,2,14
87,1,18
74,4,15
82,4,15
82,4,14
87,1,17
87,1,18
87,1,18
85,3,18
87,1,18
87,1,17
86,2,16
79,2,18
87,1,17
83,2,19
85,3,15
87,1,17
86,2,15
87,1,19
84,3,15
84,3,15
80,2,14
79,2,15
86,2,16
85,2,16
87,1,18
85,2,17
86,2,16
87,1,18
87,1,17
86,2,19
87,1,17
83,2,15
87,1,25
86,2,16
80,3,14
87,1,20
87,1,17
81,3,15
85,2,16
87,1,18
85,2,16
87,1,18
86,2,16
87,1,16
87,1,17
87,1,17
83,4,15
86,2,17
82,4,14
80,2,15
87,1,18
84,3,14
87,1,18
86,2,15
80,2,16
86,2,17
86,2,17
87,1,16
78,3,14
87,1,20
86,2,19
87,1,19
87,1,19
85,2,14
85,2,15
80,4,14
84,2,17
84,3,14
84,4,16
87,1,18
78,5,15
86,2,17
86,2,16
86,2,18
86,2,18
82,2,17
86,2,18
84,3,16
87,1,17
81,2,14
87,1,17
87,1,17
80,2,16
85,3,18
82,2,16
