Largest Connected Component Size,Number of Components,Diameter of Largest Component
87,1,18
87,1,20
87,1,17
83,4,14
87,1,16
79,3,14
82,3,14
87,1,17
87,1,19
87,1,17
87,1,21
86,2,15
67,2,17
86,2,16
81,4,14
79,2,14
85,3,14
80,2,18
86,2,23
87,1,18
86,2,15
87,1,17
86,2,18
86,2,14
87,1,17
87,1,17
85,2,16
86,2,16
87,1,17
77,3,14
82,3,16
87,1,17
87,1,17
87,1,17
81,2,18
87,1,17
87,1,17
84,3,14
87,1,17
86,2,17
79,2,18
77,3,17
87,1,17
86,2,18
80,2,14
83,3,15
86,2,16
82,2,16
86,2,17
87,1,16
80,3,15
82,3,14
87,1,16
84,3,20
87,1,17
86,2,17
84,3,16
87,1,16
86,2,16
85,3,17
86,2,15
86,2,18
87,1,16
87,1,16
84,3,14
86,2,15
87,1,22
87,1,18
87,1,17
86,2,17
86,2,16
87,1,18
80,2,17
86,2,16
87,1,20
72,3,13
86,2,14
86,2,19
81,2,15
86,2,20
87,1,19
80,2,14
87,1,19
87,1,18
81,2,14
85,2,18
87,1,18
86,2,19
87,1,17
85,3,19
85,2,14
87,1,18
87,1,18
87,1,19
84,3,14
86,2,17
87,1,17
84,3,16
87,1,17
86,2,18
87,1,18
82,3,16
87,1,17
87,1,18
87,1,17
80,3,14
87,1,19
79,3,14
86,2,18
87,1,18
81,2,15
85,3,17
86,2,16
86,2,15
86,2,18
81,2,17
87,1,18
87,1,17
87,1,17
86,2,16
87,1,20
86,2,17
87,1,17
86,2,18
87,1,17
84,2,21
86,2,17
87,1,20
87,1,17
87,1,16
87,1,19
87,1,16
85,3,16
86,2,18
78,4,14
87,1,17
81,2,16
84,3,14
83,2,17
87,1,17
86,2,19
86,2,18
87,1,19
87,1,18
83,2,14
84,3,15
86,2,15
82,3,15
87,1,19
87,1,17
84,4,15
86,2,17
87,1,17
87,1,17
85,2,17
87,1,18
86,2,17
86,2,16
69,2,15
86,2,14
87,1,16
87,1,17
87,1,17
87,1,17
82,3,14
84,3,16
87,1,18
80,2,16
81,2,15
81,2,16
82,3,15
84,3,19
86,2,15
86,2,17
85,2,16
85,2,15
84,3,17
65,4,13
85,2,16
85,3,17
87,1,17
87,1,17
85,3,17
87,1,17
84,2,16
78,4,14
87,1,16
87,1,18
85,3,17
87,1,18
87,1,17
87,1,19
87,1,17
87,1,17
79,2,18
81,2,14
87,1,19
79,2,18
84,3,14
80,4,15
87,1,19
87,1,17
68,3,16
87,1,17
87,1,18
87,1,19
87,1,17
87,1,16
87,1,17
87,1,18
82,3,21
72,3,17
79,3,13
87,1,16
66,3,11
87,1,17
87,1,17
87,1,17
87,1,16
87,1,17
86,2,16
87,1,18
71,2,14
87,1,18
87,1,17
86,2,16
85,3,14
85,2,15
85,2,17
85,2,16
85,2,14
86,2,18
85,2,15
86,2,17
87,1,16
79,3,15
82,3,14
87,1,18
85,2,15
87,1,18
87,1,21
85,2,16
85,3,15
87,1,18
87,1,18
86,2,18
68,3,15
84,2,14
87,1,19
79,3,17
86,2,15
87,1,16
86,2,16
87,1,18
86,2,15
86,2,17
84,3,16
87,1,17
81,2,17
87,1,17
85,3,14
87,1,17
87,1,18
87,1,16
84,4,14
81,3,15
87,1,18
87,1,15
87,1,17
68,3,14
84,3,15
86,2,17
87,1,18
85,3,14
87,1,17
87,1,17
87,1,16
87,1,18
87,1,18
84,4,15
87,1,16
81,2,15
87,1,17
77,3,14
81,2,14
87,1,17
85,2,16
87,1,16
85,2,15
86,2,15
87,1,17
82,3,13
85,3,14
86,2,20
85,3,16
87,1,17
87,1,17
87,1,17
87,1,18
86,2,17
85,2,16
87,1,17
85,2,17
87,1,17
87,1,15
81,3,13
80,3,15
87,1,16
87,1,16
87,1,18
87,1,18
87,1,18
86,2,14
87,1,16
83,4,18
86,2,17
87,1,19
87,1,22
84,3,15
87,1,19
87,1,19
86,2,20
85,2,14
86,2,16
86,2,18
87,1,17
87,1,16
85,3,15
87,1,17
87,1,16
86,2,19
85,2,16
87,1,18
87,1,18
82,2,14
87,1,20
84,3,15
81,2,14
87,1,18
86,2,16
81,2,15
80,2,15
87,1,19
87,1,18
80,2,14
86,2,17
86,2,15
79,2,18
87,1,18
81,2,14
85,2,14
86,2,15
87,1,18
86,2,16
87,1,17
87,1,17
87,1,20
85,3,13
87,1,20
87,1,22
80,2,15
87,1,18
86,2,14
87,1,18
87,1,18
87,1,18
86,2,15
79,3,13
86,2,17
81,2,16
86,2,17
85,2,17
85,3,15
87,1,17
87,1,20
87,1,20
86,2,16
86,2,16
87,1,17
87,1,18
86,2,15
80,2,13
86,2,16
87,1,18
86,2,17
80,2,19
85,3,16
87,1,19
83,2,14
87,1,18
87,1,17
86,2,14
80,2,19
86,2,18
87,1,18
82,3,17
86,2,15
81,2,15
87,1,15
87,1,17
76,4,15
87,1,19
80,2,14
80,4,13
85,3,14
86,2,17
84,3,15
85,2,15
84,3,16
87,1,18
86,2,17
86,2,21
86,2,18
87,1,17
82,3,15
87,1,19
87,1,19
85,2,16
87,1,17
87,1,17
86,2,15
86,2,14
83,2,16
86,2,16
86,2,16
86,2,17
86,2,17
86,2,14
87,1,19
87,1,17
87,1,17
86,2,16
82,3,16
83,5,16
80,2,13
86,2,16
86,2,18
87,1,17
81,2,14
87,1,16
87,1,18
87,1,16
86,2,17
87,1,17
80,2,13
87,1,17
85,3,19
86,2,15
87,1,17
86,2,22
86,2,16
86,2,18
87,1,18
86,2,16
87,1,17
71,2,14
87,1,17
87,1,14
85,2,14
80,2,13
87,1,17
85,2,15
78,3,13
86,2,15
82,2,15
87,1,17
87,1,18
87,1,18
84,4,16
87,1,17
86,2,20
87,1,18
85,2,19
79,3,14
85,2,15
86,2,15
87,1,17
87,1,18
81,2,14
87,1,17
80,2,19
86,2,18
85,2,15
81,2,14
84,3,16
86,2,15
87,1,20
86,2,16
87,1,13
86,2,17
82,3,14
65,2,18
87,1,21
87,1,17
87,1,17
87,1,17
87,1,19
87,1,17
81,3,14
87,1,18
87,1,17
78,3,14
80,2,15
86,2,21
87,1,19
