origen,destino,sp_hops,sp_dist_km,sp_skr_bottleneck,sp_path,mqr_hops,mqr_dist_km,mqr_skr_bottleneck,mqr_path,skr_gain,hop_overhead
Adrada (La),Alberca (La),4,136.11479161827873,0.0017972250431889081,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Alberca (La),5,140.1088736907968,0.002240832293450918,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Béjar -> Alberca (La),1.2468289944785629,1
Adrada (La),Aldeadávila de la Ribera,7,228.41975146058832,0.0017972250431889081,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Alberca (La) -> Fuente de San Esteban (La) -> Vitigudino -> Aldeadávila de la Ribera,10,273.70076702392572,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago -> Fermoselle -> Aldeadávila de la Ribera,1.2124726075949293,3
Adrada (La),Almazán,8,252.98715020022561,0.0014233262634826336,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Mozoncillo -> Burgo de Osma-Ciudad de Osma -> Berlanga de Duero -> Almazán,18,481.26669272501749,0.0021662637949031692,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Traspinedo -> Campaspero -> Roa -> Aranda de Duero -> Huerta de Rey -> San Leonardo de Yagüe -> Burgo de Osma-Ciudad de Osma -> Berlanga de Duero -> Almazán,1.5219727552857036,10
Adrada (La),Aranda de Duero,6,193.97991891636528,0.0017816218199113733,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Mozoncillo -> Aranda de Duero,13,348.04498660617764,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Traspinedo -> Campaspero -> Roa -> Aranda de Duero,1.2230912925497079,7
Adrada (La),Arcos de Jalón,9,290.22459145013249,0.0014233262634826336,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Mozoncillo -> Burgo de Osma-Ciudad de Osma -> Berlanga de Duero -> Almazán -> Arcos de Jalón,12,366.540843018847,0.0018366556026132874,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Campaspero -> Roa -> Aranda de Duero -> Huerta de Rey -> Burgo de Osma-Ciudad de Osma -> Berlanga de Duero -> Almazán -> Arcos de Jalón,1.2903967626644564,3
Adrada (La),Arévalo,4,140.73306299863407,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Arévalo,10,291.37862140687224,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedrajas de San Esteban -> Arévalo,1.7012962056018663,6
Adrada (La),Barco de Ávila (El),2,77.002598049256591,0.0013301840913790995,Adrada (La) -> Mombeltrán -> Barco de Ávila (El),3,87.872816572614596,0.002240832293450918,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El),1.6846031372452235,1
Adrada (La),Barruelo de Santullán,9,323.71143226606029,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Pedrajas de San Esteban -> Santovenia de Pisuerga -> Palencia -> Carrión de los Condes -> Herrera de Pisuerga -> Barruelo de Santullán,17,464.16322904504682,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Herrera de Pisuerga -> Cervera de Pisuerga -> Barruelo de Santullán,1.7012962056018663,8
Adrada (La),Bañeza (La),9,311.5609209001808,0.0013766148642640459,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Terradillos -> Fuentesaúco -> Toro -> Villalpando -> Benavente -> Bañeza (La),14,399.64148649114514,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Zaratán -> Villabrágima -> Villalpando -> Benavente -> Santibáñez de Vidriales -> Bañeza (La),1.5829308480663029,5
Adrada (La),Belorado,8,293.00631488050533,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Roa -> Lerma -> Burgos -> Belorado,18,491.09303550697496,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Villadiego -> Merindad de Río Ubierna -> Briviesca -> Belorado,1.7012962056018663,10
Adrada (La),Benavente,8,273.80686837343376,0.0013766148642640459,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Terradillos -> Fuentesaúco -> Toro -> Villalpando -> Benavente,12,343.79569649832098,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Zaratán -> Villabrágima -> Villalpando -> Benavente,1.5829308480663029,4
