,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Abrucena,0.015806111696522653,0.07854009765786642,0.006722470791869011,3.528417082627655e-11,0.45714285714285713,2
Berja,0.01053740779768177,0.0745658835546476,0.0006733598482811696,1.0278076263272908e-11,0.6666666666666666,1
Arboleas,0.0136986301369863,0.0787944204583195,0.006113899022460162,8.221427215376111e-10,0.47435897435897434,2
Benahadux,0.009483667017913592,0.07404228758679879,0.0005605479556718203,3.475315628984958e-11,0.6388888888888888,0
Vera,0.009483667017913592,0.07614539035545213,0.0013156918823068284,7.195810049516778e-10,0.6111111111111112,0
Turre,0.008429926238145416,0.0761392811296534,0.0007211258859022456,4.992268078591532e-10,0.6785714285714286,1
Canjáyar,0.011591148577449946,0.07549120992761117,0.0009500135212657501,1.9408302437727737e-11,0.6181818181818182,0
Olula del Río,0.012644889357218123,0.07945411922304085,0.004389603319289494,2.61568192614701e-10,0.48484848484848486,2
Carboneras,0.006322444678609061,0.07436721260089335,3.304415868443821e-06,1.4105203864954696e-10,0.8666666666666667,1
Oria,0.009483667017913592,0.0805397606721548,0.006633163856704772,4.090835869349787e-10,0.5277777777777778,0
Ejido (El),0.008429926238145416,0.0736458171659165,6.66384503151571e-05,8.886811953767337e-12,0.75,1
Gérgal,0.011591148577449946,0.0757684630738523,0.001136151531441534,5.974621128110697e-11,0.5272727272727272,0
Nevada,0.012644889357218123,0.07513261024463622,0.0010517299382924639,1.378245173439897e-11,0.5606060606060606,0
Uleila del Campo,0.011591148577449946,0.0749960486802592,0.0005556137258918458,1.8841487385567542e-10,0.5636363636363636,0
Vélez-Blanco,0.009483667017913592,0.08363444082136247,0.014397253048701465,1.2832944115335306e-09,0.4166666666666667,2
Roquetas de Mar,0.009483667017913592,0.07403651115618662,0.00039717827737519176,2.5422647159961115e-11,0.6944444444444444,1
Níjar,0.01053740779768177,0.07460105337630689,0.0010772225267028875,1.614521412004703e-10,0.6,0
Pulpí,0.008429926238145416,0.0794142259414226,0.00148577608174128,2.4851873100947597e-09,0.6071428571428571,0
Tíjola,0.009483667017913592,0.07904381142761953,0.001170077421492994,1.2105541420304469e-10,0.5833333333333334,0
Tabernas,0.011591148577449946,0.07591392688584914,0.002390581563542527,1.0566860635822632e-10,0.5454545454545454,0
Alcalá de los Gazules,0.01053740779768177,0.06460616788072708,0.0018001719266237416,3.626585176413645e-13,0.5111111111111111,0
Setenil de las Bodegas,0.015806111696522653,0.07099573576718785,0.0021756943335169104,2.3860165131941842e-12,0.5142857142857142,0
Algar,0.01053740779768177,0.06555225530151275,0.001770132899002926,6.856341138978063e-13,0.5555555555555556,0
San Roque,0.005268703898840885,0.06268163804491414,0.0011458680909703152,1.2690839631231185e-13,0.6,0
Zahara,0.011591148577449946,0.06862390628389615,0.0008538026752747243,1.6539953210652793e-12,0.6181818181818182,0
Bornos,0.01053740779768177,0.06797994269340975,0.0017436715940573378,9.62815842304007e-13,0.4666666666666667,2
Vejer de la Frontera,0.006322444678609061,0.061647395088995714,0.0003283296132079988,8.111610449707366e-14,0.6,0
Benalup-Casas Viejas,0.008429926238145416,0.06270648870093828,0.0006898178864615112,1.642632543672058e-13,0.5357142857142857,0
Bosque (El),0.012644889357218123,0.0685149086708541,0.006465487991407758,1.2345615002752094e-12,0.5151515151515151,0
Puerto de Santa María (El),0.005268703898840885,0.06387561418859797,0.0011768679236869358,1.0029328962343395e-13,0.5,2
San Fernando,0.006322444678609061,0.06199777879401581,0.00024773025935030115,9.225830706184188e-14,0.6,0
Sanlúcar de Barrameda,0.004214963119072708,0.06411728937233971,0.001391250855103912,1.893808846802251e-13,0.5,2
