"compMat","","","","","","","","","","","","","","",""
50,50,50,50,49,47,45,41,39,31,30,27,24,22,17,15
55,55,55,55,54,52,50,43,40,33,29,23,20,20,17,12
60,60,60,60,58,57,52,48,43,36,29,26,19,19,15,6
65,65,65,63,60,59,53,49,44,35,28,24,21,19,15,7
70,70,69,67,62,60,52,50,43,35,28,21,16,12,5,4
75,74,74,69,66,59,51,45,41,35,28,21,14,13,6,4
80,78,78,74,67,61,53,46,43,33,25,18,7,6,3,2
85,83,82,79,72,65,54,46,42,31,20,15,5,5,3,2
90,88,87,81,74,66,50,42,33,23,20,15,4,4,3,2
95,93,92,86,79,69,51,42,33,24,20,13,2,2,1,1
100,97,94,89,79,68,50,40,31,22,19,11,2,2,1,1
105,102,98,93,79,66,50,38,28,21,17,10,4,4,2,1
110,106,100,92,78,67,50,38,30,25,20,9,4,4,2,1
115,111,104,94,78,67,47,36,29,22,14,7,4,4,2,1
120,115,107,97,78,65,44,34,26,21,16,8,5,5,2,1
125,120,110,98,77,64,45,32,21,16,9,6,5,5,2,1
128,121,110,96,77,60,44,29,20,15,9,6,5,5,2,1
131,122,109,95,73,55,41,27,21,16,8,5,5,5,2,1
137,126,113,94,73,54,38,25,19,13,7,5,5,5,2,1
141,131,111,93,70,56,38,26,14,10,6,5,4,4,1,1
145,135,115,95,71,53,37,24,15,11,5,4,4,4,1,1
