p_pct,S_rel,num_components
0,1.0,1
1,0.8905263157894737,2
2,0.8789473684210526,3
3,0.6378947368421053,4
4,0.6273684210526316,4
5,0.39052631578947367,5
6,0.2294736842105263,6
7,0.22631578947368422,7
8,0.21473684210526317,8
9,0.16421052631578947,9
10,0.14105263157894737,10
11,0.14105263157894737,11
12,0.1031578947368421,14
13,0.1031578947368421,15
14,0.1031578947368421,16
15,0.09368421052631579,16
16,0.08210526315789474,18
17,0.08,19
18,0.07789473684210527,20
19,0.07684210526315789,21
20,0.07684210526315789,22
21,0.07473684210526316,23
22,0.06842105263157895,24
23,0.06842105263157895,26
24,0.06842105263157895,29
25,0.06842105263157895,32
26,0.06526315789473684,33
27,0.05578947368421053,33
28,0.049473684210526316,36
29,0.04421052631578947,38
30,0.03894736842105263,39
31,0.037894736842105266,41
32,0.03684210526315789,43
33,0.03368421052631579,45
34,0.03368421052631579,46
35,0.02736842105263158,47
36,0.02631578947368421,50
37,0.02631578947368421,54
38,0.02631578947368421,57
39,0.02631578947368421,58
40,0.02526315789473684,62
41,0.018947368421052633,62
42,0.018947368421052633,65
43,0.017894736842105262,69
44,0.016842105263157894,72
45,0.016842105263157894,75
46,0.016842105263157894,77
47,0.016842105263157894,80
48,0.016842105263157894,85
49,0.016842105263157894,88
