p_pct,S_rel,num_components
0,1.0,1
1,0.9989473684210526,2
2,0.9989473684210526,2
3,0.9989473684210526,2
4,0.9989473684210526,2
5,0.9989473684210526,2
6,0.9968421052631579,4
7,0.9894736842105263,7
8,0.9894736842105263,7
9,0.9894736842105263,7
10,0.9873684210526316,8
11,0.9873684210526316,8
12,0.9873684210526316,8
13,0.9873684210526316,8
14,0.9873684210526316,8
15,0.9873684210526316,8
16,0.9873684210526316,8
17,0.9852631578947368,10
18,0.9831578947368421,12
19,0.8568421052631578,17
20,0.8547368421052631,18
21,0.8494736842105263,24
22,0.8357894736842105,26
23,0.8336842105263158,28
24,0.8305263157894737,29
25,0.8252631578947368,32
26,0.8252631578947368,33
27,0.8210526315789474,35
28,0.8210526315789474,36
29,0.82,37
30,0.8105263157894737,43
31,0.6863157894736842,47
32,0.6852631578947368,50
33,0.6747368421052632,52
34,0.628421052631579,57
35,0.5789473684210527,61
36,0.5747368421052632,63
37,0.5747368421052632,64
38,0.5726315789473684,69
39,0.5715789473684211,74
40,0.5715789473684211,76
41,0.5715789473684211,77
42,0.5578947368421052,82
43,0.5578947368421052,87
44,0.4557894736842105,91
45,0.45473684210526316,96
46,0.4536842105263158,104
47,0.45052631578947366,109
48,0.4494736842105263,113
49,0.4442105263157895,117
