p_pct,S_rel,n_components
0,1.0,1
1,0.990526,1
2,0.98,1
3,0.970526,1
4,0.96,1
5,0.950526,1
6,0.94,1
7,0.929474,2
8,0.918947,2
9,0.909474,2
10,0.898947,2
11,0.889474,2
12,0.878947,2
13,0.869474,2
14,0.858947,2
15,0.849474,2
16,0.838947,2
17,0.829474,2
18,0.816842,3
19,0.807368,3
20,0.796842,3
21,0.775789,5
22,0.767368,5
23,0.757895,5
24,0.747368,5
25,0.736842,6
26,0.725263,7
27,0.713684,8
28,0.703158,8
29,0.687368,9
30,0.665263,11
31,0.656842,12
32,0.648421,12
33,0.641053,12
34,0.630526,12
35,0.618947,13
36,0.605263,14
37,0.595789,14
38,0.428421,15
39,0.378947,16
40,0.376842,16
41,0.367368,19
42,0.362105,18
43,0.356842,19
44,0.353684,19
45,0.342105,21
46,0.332632,20
47,0.290526,21
48,0.202105,23
49,0.197895,26
