Removal Fraction (%),Largest Connected Component Size,Number of Components,Diameter of Largest Component
0,950,1,30
1,941,1,30
2,931,1,30
3,922,1,30
4,912,1,30
5,903,1,31
6,893,1,31
7,884,1,31
8,874,1,31
9,865,1,31
10,855,1,31
11,846,1,31
12,836,1,31
13,827,1,32
14,817,1,32
15,808,1,32
16,798,1,32
17,789,1,32
18,779,1,32
19,770,1,32
20,760,1,32
21,751,1,32
22,741,1,32
23,732,1,32
24,722,1,32
25,713,1,32
26,703,1,34
27,694,1,34
28,684,1,34
29,675,1,34
30,665,1,34
31,656,1,34
32,646,1,35
33,637,1,35
34,627,1,35
35,618,1,35
36,608,1,36
37,598,2,36
38,583,3,36
39,574,3,36
40,564,3,38
41,544,4,43
42,534,4,43
43,525,4,45
44,514,5,46
45,497,6,43
46,488,5,43
47,479,7,44
48,469,7,44
49,441,8,38
