Población;Latitud;Longitud
Abla;37,14114;-2,780104
Abrucena;37,13305;-2,797098
Adra;36,74807;-3,022522
Albox;37,38979;-2,147483
Alhama de Almería;36,95742;-2,570075
Almería;36,84016;-2,467922
Antas;37,24516;-1,917543
Arboleas;37,35025;-2,074867
Bédar;37,18964;-1,981898
Benahadux;36,92587;-2,455683
Berja;36,84644;-2,949425
Canjáyar;37,00973;-2,739681
Cantoria;37,35259;-2,193626
Carboneras;36,99659;-1,895012
Chirivel;37,5956;-2,264839
Cuevas del Almanzora;37,29709;-1,881476
Dalías;36,82121;-2,870697
Ejido (El);36,77506;-2,812738
Fiñana;37,17101;-2,840678
Fines;37,35888;-2,262964
Gádor;36,95393;-2,492936
Gallardos (Los);37,16948;-1,940099
Garrucha;37,17925;-1,821901
Gérgal;37,1207;-2,538305
Huércal-Overa;37,39063;-1,943684
Huércal de Almería;36,88415;-2,435978
Láujar de Andarax;36,99384;-2,88922
Lubrín;37,21585;-2,067055
Macael;37,33229;-2,304892
María;37,7111;-2,165795
Mojácar;37,13995;-1,851328
Mojonera (La);36,75254;-2,688159
Níjar;36,96576;-2,20651
Olula del Río;37,35212;-2,298121
Oria;37,48503;-2,295018
Pechina;36,91667;-2,440625
Pulpí;37,41183;-1,745502
Purchena;37,34855;-2,36155
Rioja;36,94406;-2,462424
Roquetas de Mar;36,76427;-2,614935
Serón;37,34361;-2,508077
Sorbas;37,09841;-2,126351
Tabernas;37,04945;-2,392681
Taberno;37,46729;-2,076205
Tíjola;37,34551;-2,439434
Turre;37,15225;-1,894899
Uleila del Campo;37,18548;-2,203801
Vélez-Blanco;37,69095;-2,095682
Vélez-Rubio;37,64802;-2,074232
Vera;37,24686;-1,868238
Viator;36,88963;-2,426541
Vícar;36,83145;-2,642515
Zurgena;37,34265;-2,039607
Alcalá de los Gazules;36,46045;-5,723718
Alcalá del Valle;36,90491;-5,173237
Algar;36,65533;-5,657418
Algeciras;36,12978;-5,447698
Algodonales;36,88092;-5,405773
Arcos de la Frontera;36,75078;-5,812395
Barbate;36,19282;-5,918903
Barrios (Los);36,18539;-5,492747
Benalup-Casas Viejas;36,34284;-5,8094
Bornos;36,81459;-5,743362
Bosque (El);36,75752;-5,506988
Cádiz;36,52969;-6,292657
Castellar de la Frontera;36,28621;-5,419937
Chiclana de la Frontera;36,41915;-6,149412
Chipiona;36,7408;-6,43587
Conil de la Frontera;36,27675;-6,088436
Espera;36,87319;-5,806213
Gastor (El);36,85509;-5,323623
Grazalema;36,75837;-5,366071
Jerez de la Frontera;36,68656;-6,137173
Jimena de la Frontera;36,43404;-5,453479
Línea de la Concepción (La);36,16118;-5,348256
Medina-Sidonia;36,46768;-5,927894
Olvera;36,93525;-5,267688
Paterna de Rivera;36,52333;-5,866053
Prado del Rey;36,78968;-5,555545
Puerto de Santa María (El);36,59695;-6,227526
Puerto Real;36,52912;-6,191895
