Largest Connected Component Size,Number of Components,Diameter of Largest Component
827,1,31
827,1,31
827,1,31
827,1,31
827,1,32
826,2,33
827,1,32
827,1,31
827,1,31
827,1,31
827,1,31
827,1,30
827,1,31
827,1,30
827,1,32
825,3,31
827,1,30
826,2,31
826,2,31
827,1,31
826,2,31
827,1,32
827,1,31
827,1,31
825,3,31
827,1,31
827,1,32
827,1,31
827,1,31
823,2,31
820,3,30
827,1,31
827,1,32
826,2,30
827,1,31
826,2,31
827,1,30
827,1,32
827,1,31
827,1,31
827,1,30
827,1,30
827,1,31
826,2,31
827,1,31
827,1,30
827,1,31
827,1,31
825,3,32
826,2,30
827,1,31
827,1,31
827,1,31
826,2,32
826,2,31
825,3,35
827,1,30
827,1,31
827,1,32
827,1,31
827,1,31
827,1,31
825,3,31
826,2,31
827,1,31
827,1,32
826,2,30
826,2,32
827,1,31
827,1,29
827,1,32
826,2,32
826,2,31
826,2,30
826,2,31
826,2,30
827,1,31
827,1,31
827,1,30
826,2,30
826,2,31
826,2,30
827,1,31
827,1,33
827,1,31
827,1,31
825,2,30
827,1,31
827,1,30
827,1,31
827,1,31
827,1,31
827,1,31
826,2,30
827,1,31
826,2,30
827,1,30
825,3,31
827,1,31
827,1,31
827,1,31
827,1,30
825,3,32
827,1,31
827,1,31
827,1,30
827,1,30
827,1,30
825,3,30
826,2,31
827,1,31
827,1,31
826,2,31
827,1,31
826,2,32
826,2,32
827,1,31
826,2,30
827,1,30
827,1,31
827,1,30
827,1,32
827,1,30
827,1,33
827,1,31
826,2,33
825,3,32
827,1,32
827,1,31
825,3,31
826,2,31
826,2,31
827,1,31
825,3,32
826,2,30
826,2,31
827,1,31
827,1,32
826,2,31
825,2,32
827,1,31
826,2,31
826,2,30
827,1,30
825,3,31
827,1,32
827,1,31
826,2,33
827,1,31
827,1,31
827,1,31
827,1,31
825,3,31
826,2,31
826,2,31
827,1,31
827,1,32
826,2,30
827,1,31
826,2,32
827,1,30
827,1,30
826,2,31
827,1,32
827,1,30
826,2,31
825,3,31
825,3,32
827,1,31
825,2,31
827,1,32
827,1,32
825,3,37
827,1,31
827,1,31
827,1,32
826,2,31
827,1,31
826,2,31
826,2,32
826,2,32
827,1,31
827,1,30
827,1,31
827,1,30
826,2,31
827,1,31
826,2,30
827,1,31
826,2,31
827,1,30
826,2,30
826,2,30
826,2,31
826,2,31
827,1,32
827,1,30
826,2,31
827,1,31
827,1,31
827,1,30
827,1,30
826,2,31
827,1,31
826,2,33
827,1,32
827,1,31
827,1,31
825,3,30
826,2,33
826,2,30
827,1,31
827,1,31
826,2,32
825,2,30
827,1,31
826,2,31
827,1,31
825,3,30
826,2,31
826,2,30
826,2,30
827,1,31
827,1,32
827,1,30
826,2,31
827,1,31
827,1,31
827,1,33
827,1,30
826,2,32
827,1,33
826,2,31
827,1,31
827,1,30
824,3,31
827,1,31
827,1,31
826,2,31
827,1,30
827,1,31
826,2,30
827,1,31
827,1,32
827,1,31
827,1,31
827,1,31
827,1,31
733,2,30
827,1,31
827,1,31
826,2,30
826,2,31
827,1,31
827,1,30
827,1,31
826,2,31
826,2,31
827,1,31
825,3,30
827,1,31
827,1,31
827,1,30
825,3,32
826,2,31
827,1,31
827,1,31
826,2,31
827,1,30
826,2,30
827,1,33
827,1,31
826,2,31
827,1,31
827,1,32
827,1,33
826,2,33
827,1,31
826,2,31
826,2,32
827,1,30
827,1,31
827,1,31
827,1,31
827,1,32
827,1,30
827,1,31
826,2,33
827,1,33
827,1,32
826,2,31
826,2,30
826,2,31
827,1,32
827,1,31
826,2,32
827,1,30
825,3,30
827,1,31
827,1,31
827,1,31
827,1,30
826,2,30
826,2,31
827,1,30
826,2,30
822,3,31
825,3,31
827,1,31
826,2,30
827,1,30
824,3,33
827,1,31
827,1,30
825,3,31
827,1,30
825,3,31
826,2,32
826,2,31
827,1,31
827,1,31
826,2,31
826,2,31
825,2,33
827,1,31
826,2,31
827,1,30
826,2,32
827,1,31
827,1,31
827,1,31
827,1,31
826,2,30
827,1,31
825,2,31
827,1,31
827,1,31
827,1,31
826,2,31
826,2,31
827,1,31
827,1,31
826,2,31
827,1,31
826,2,32
827,1,32
827,1,30
825,3,32
826,2,31
826,2,31
827,1,30
827,1,30
827,1,31
