red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
adif,degree_static,0.0,1.0,,3.657112903257548e-05,,0.0003504881883480674,,
adif,degree_static,0.01,0.9835051546391752,,1.597792342551604e-05,,0.0002977551019344495,,
adif,degree_static,0.02,0.9690721649484536,,1.597792342551604e-05,,0.0002798970169930901,,
adif,degree_static,0.03,0.954639175257732,,1.597792342551604e-05,,0.00026793621048195877,,
adif,degree_static,0.04,0.7051546391752578,,3.967225601629679e-06,,0.0002588181353115322,,
adif,degree_static,0.05,0.7010309278350515,,3.837743933288342e-06,,0.00023311603021792247,,
adif,degree_static,0.06,0.6247422680412371,,0.0,,0.00023003454066402128,,
adif,degree_static,0.07,0.4865979381443299,,0.0,,0.00022488530613768492,,
adif,degree_static,0.08,0.3670103092783505,,0.0,,0.00020090092057065367,,
adif,degree_static,0.09,0.27010309278350514,,0.0,,0.00018935444714261217,,
adif,degree_static,0.1,0.21855670103092784,,0.0,,0.00013940670464103954,,
adif,degree_static,0.11,0.16494845360824742,,0.0,,0.00013930218962195857,,
adif,degree_static,0.12,0.16288659793814433,,0.0,,0.00012816695547422966,,
adif,degree_static,0.13,0.1154639175257732,,0.0,,0.00010036868342680022,,
adif,degree_static,0.14,0.1154639175257732,,0.0,,9.995595729864579e-05,,
adif,degree_static,0.15,0.1154639175257732,,0.0,,9.995595729864579e-05,,
adif,degree_static,0.16,0.1154639175257732,,0.0,,9.311883353871731e-05,,
adif,degree_static,0.17,0.10309278350515463,,0.0,,8.971360157682259e-05,,
adif,degree_static,0.18,0.10309278350515463,,0.0,,8.971360157682259e-05,,
adif,degree_static,0.19,0.10309278350515463,,0.0,,8.968589392895718e-05,,
adif,degree_static,0.2,0.10309278350515463,,0.0,,8.968589392895718e-05,,
adif,degree_static,0.21,0.10309278350515463,,0.0,,7.182141753271128e-05,,
adif,degree_static,0.22,0.10309278350515463,,0.0,,7.182141753271128e-05,,
adif,degree_static,0.23,0.10309278350515463,,0.0,,7.180158140470312e-05,,
adif,degree_static,0.24,0.10309278350515463,,0.0,,7.179761417910149e-05,,
adif,degree_static,0.25,0.05979381443298969,,0.0,,6.584031591341977e-05,,
adif,degree_static,0.26,0.05979381443298969,,0.0,,5.653475737101875e-05,,
adif,degree_static,0.27,0.05979381443298969,,0.0,,5.6461615112953594e-05,,
adif,degree_static,0.28,0.05979381443298969,,0.0,,5.637371761961897e-05,,
adif,degree_static,0.29,0.05979381443298969,,0.0,,5.637371761961897e-05,,
adif,degree_static,0.3,0.05979381443298969,,0.0,,5.637371761961897e-05,,
adif,degree_static,0.31,0.05979381443298969,,0.0,,5.637371761961897e-05,,
adif,degree_static,0.32,0.05979381443298969,,0.0,,5.6094763339141546e-05,,
adif,degree_static,0.33,0.05979381443298969,,0.0,,5.6094763339141546e-05,,
adif,degree_static,0.34,0.0577319587628866,,0.0,,5.6094763339141546e-05,,
adif,degree_static,0.35,0.03711340206185567,,0.0,,5.6094763339141546e-05,,
adif,degree_static,0.36,0.026804123711340205,,0.0,,2.6753773092033942e-05,,
