red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
cyl,degree_static,0.0,1.0,,0.0041616952986602,,0.004146153424158901,,
cyl,degree_static,0.01,0.99,,0.0040093965562664,,0.004002170926768674,,
cyl,degree_static,0.02,0.98,,0.0040093965562664,,0.0038951276763493805,,
cyl,degree_static,0.03,0.97,,0.0038345507655162,,0.00376485994458263,,
cyl,degree_static,0.04,0.96,,0.0038345507655162,,0.003699735510665419,,
cyl,degree_static,0.05,0.95,,0.0033172930989985,,0.003403423609059948,,
cyl,degree_static,0.06,0.94,,0.0031975834573047,,0.0032651912601704466,,
cyl,degree_static,0.07,0.93,,0.0031975834573047,,0.003087310722295597,,
cyl,degree_static,0.08,0.92,,0.0031975834573047,,0.003010172109636553,,
cyl,degree_static,0.09,0.91,,0.0031975834573047,,0.0029618518883622606,,
cyl,degree_static,0.1,0.9,,0.0031935321535626,,0.0028783902433864392,,
cyl,degree_static,0.11,0.89,,0.0031935321535626,,0.0028165733389733816,,
cyl,degree_static,0.12,0.88,,0.0031458724641882,,0.0027124445656215826,,
cyl,degree_static,0.13,0.87,,0.0031458724641882,,0.0026587634358409924,,
cyl,degree_static,0.14,0.86,,0.0031458724641882,,0.0025818790363752106,,
cyl,degree_static,0.15,0.85,,0.0031458724641882,,0.0025098218197501694,,
cyl,degree_static,0.16,0.84,,0.0031458724641882,,0.002383121506284167,,
cyl,degree_static,0.17,0.83,,0.0031458724641882,,0.0023257702159781564,,
cyl,degree_static,0.18,0.74,,0.0027682016995318,,0.0018905143284808175,,
cyl,degree_static,0.19,0.73,,0.0027682016995318,,0.0018614091237004052,,
cyl,degree_static,0.2,0.72,,0.0027682016995318,,0.0018218345310247342,,
cyl,degree_static,0.21,0.71,,0.0027682016995318,,0.0017460162188215036,,
cyl,degree_static,0.22,0.7,,0.0026588172796415,,0.0017126046733373186,,
cyl,degree_static,0.23,0.69,,0.0,,0.0016613214780915962,,
cyl,degree_static,0.24,0.69,,0.0,,0.0016512654295417382,,
cyl,degree_static,0.25,0.63,,0.0,,0.0013917859181071701,,
cyl,degree_static,0.26,0.62,,0.0,,0.0013385471351954473,,
cyl,degree_static,0.27,0.61,,0.0,,0.0012767463737635308,,
