red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
espana,degree_static,0.0,1.0,,0.003268838563848,,0.0031319790183950828,,
espana,degree_static,0.01,0.9894736842105263,,0.003268838563848,,0.0030716669786656895,,
espana,degree_static,0.02,0.98,,0.0031716637008243,,0.003009840313884092,,
espana,degree_static,0.03,0.9694736842105263,,0.0031716637008243,,0.0029349826025322425,,
espana,degree_static,0.04,0.96,,0.0031295715171653,,0.002863073388765292,,
espana,degree_static,0.05,0.9494736842105264,,0.0027838422983263,,0.0027412557419297123,,
espana,degree_static,0.06,0.94,,0.0027838422983263,,0.0026824708352389337,,
espana,degree_static,0.07,0.9294736842105263,,0.0027838422983263,,0.0026143690698076753,,
espana,degree_static,0.08,0.92,,0.0027838422983263,,0.002549695969270723,,
espana,degree_static,0.09,0.9094736842105263,,0.0027838422983263,,0.0024448593236883155,,
espana,degree_static,0.1,0.9,,0.0027319010912908,,0.0023670920895011655,,
espana,degree_static,0.11,0.8894736842105263,,0.0027319010912908,,0.002304751412686644,,
espana,degree_static,0.12,0.88,,0.0027319010912908,,0.002256148468724766,,
espana,degree_static,0.13,0.8694736842105263,,0.0027319010912908,,0.002173264647891861,,
espana,degree_static,0.14,0.8589473684210527,,0.0027319010912908,,0.002106496568747443,,
espana,degree_static,0.15,0.8494736842105263,,0.0027319010912908,,0.002053918374784388,,
espana,degree_static,0.16,0.84,,0.0025857439908951,,0.0019066801165327299,,
espana,degree_static,0.17,0.8294736842105264,,0.0025857439908951,,0.001858203737457268,,
espana,degree_static,0.18,0.82,,0.0025857439908951,,0.0018248439012719686,,
espana,degree_static,0.19,0.8094736842105263,,0.0023879517707613,,0.0017399295132923638,,
espana,degree_static,0.2,0.8,,0.0023879517707613,,0.001690877212854788,,
espana,degree_static,0.21,0.7894736842105263,,0.0023879517707613,,0.0016438355894270323,,
espana,degree_static,0.22,0.78,,0.0023351503354795,,0.0015969536445545238,,
espana,degree_static,0.23,0.7694736842105263,,0.0022935274483338,,0.0015379980524299146,,
espana,degree_static,0.24,0.76,,0.0022559382828648,,0.0014362345207849644,,
espana,degree_static,0.25,0.7494736842105263,,0.0022559382828648,,0.00138093825762358,,
espana,degree_static,0.26,0.74,,0.0021662637949031,,0.0013377307653099078,,
espana,degree_static,0.27,0.7294736842105263,,0.0020857293263234,,0.0012891821978851029,,
espana,degree_static,0.28,0.72,,0.0013867443285103,,0.0012546289459345506,,
espana,degree_static,0.29,0.7094736842105264,,0.0,,0.0012161664547732454,,
espana,degree_static,0.3,0.7,,0.0,,0.001184360814185721,,
espana,degree_static,0.31,0.6894736842105263,,0.0,,0.0011563060017364514,,
espana,degree_static,0.32,0.68,,0.0,,0.0010813260989149902,,
espana,degree_static,0.33,0.6694736842105263,,0.0,,0.0010401176304241106,,
espana,degree_static,0.34,0.66,,0.0,,0.0009998497579949172,,
espana,degree_static,0.35,0.6484210526315789,,0.0,,0.0009614034134177141,,
