red,estrategia,m,C_rel,C_rel_std
cyl,cb_weighted,1,0.9218278391267292,
cyl,cb_unweighted,1,0.9218278391267292,
cyl,random,1,0.9322220390609666,0.01800328239012831
cyl,cb_weighted,2,0.9291862372685294,
cyl,cb_unweighted,2,0.9218278391267292,
cyl,random,2,0.9383565980823164,0.020683142641281207
cyl,cb_weighted,3,0.9434585149486667,
cyl,cb_unweighted,3,0.9577307926288038,
cyl,random,3,0.9598139625366601,0.017934200429663327
cyl,cb_weighted,4,1.0,
cyl,cb_unweighted,4,1.0,
cyl,random,4,0.9815801778132618,0.016177217487502647
cyl,cb_weighted,5,1.0,
cyl,cb_unweighted,5,1.0,
cyl,random,5,1.0,0.0
espana,cb_weighted,1,0.9176028211216556,
espana,cb_unweighted,1,0.9176028211216556,
espana,random,1,0.9228651089915004,0.015786863609535354
espana,cb_weighted,2,0.9176028211216556,
espana,cb_unweighted,2,0.9176028211216556,
espana,random,2,0.9269849679354177,0.022986013394490443
espana,cb_weighted,3,0.9176028211216556,
espana,cb_unweighted,3,0.9702256998201068,
espana,random,3,0.9269849679354177,0.022986013394490443
espana,cb_weighted,4,0.9176028211216556,
espana,cb_unweighted,4,0.9702256998201068,
espana,random,4,0.9325935418883298,0.03053081921743471
espana,cb_weighted,5,0.9176028211216556,
espana,cb_unweighted,5,0.9702256998201068,
espana,random,5,0.9449531187200814,0.03777840805984419
espana,cb_weighted,6,0.9176028211216556,
espana,cb_unweighted,6,0.9702256998201068,
espana,random,6,0.9558239805428383,0.03913793228564417
espana,cb_weighted,7,0.9176028211216556,
espana,cb_unweighted,7,1.0,
espana,random,7,0.9696722723835848,0.03874025897787864
espana,cb_weighted,8,0.9176028211216556,
espana,cb_unweighted,8,1.0,
espana,random,8,0.9779119902714193,0.035408601293579964
espana,cb_weighted,9,1.0,
espana,cb_unweighted,9,1.0,
espana,random,9,0.9861517081592537,0.029511769240764294
espana,cb_weighted,10,1.0,
espana,cb_unweighted,10,1.0,
espana,random,10,1.0,0.0
adif,cb_weighted,1,0.44876391407693633,
adif,cb_unweighted,1,0.5814633359346191,
adif,random,1,0.47036555291780413,0.05556718039355236
adif,cb_weighted,2,0.44876391407693633,
adif,cb_unweighted,2,0.6192764159457282,
adif,random,2,0.4842939278409947,0.06362812883360562
adif,cb_weighted,3,0.44876391407693633,
adif,cb_unweighted,3,0.6192764159457282,
adif,random,3,0.5267717561664724,0.1271567287447134
adif,cb_weighted,4,0.44876391407693633,
adif,cb_unweighted,4,0.6192764159457282,
adif,random,4,0.5378464679978902,0.12783197895688395
adif,cb_weighted,5,0.6192764159457282,
adif,cb_unweighted,5,0.6192764159457282,
adif,random,5,0.5576016104522471,0.12406018797710879
adif,cb_weighted,6,0.6192764159457282,
adif,cb_unweighted,6,0.6192764159457282,
adif,random,6,0.607791825604242,0.1444452210306786
adif,cb_weighted,7,0.6192764159457282,
adif,cb_unweighted,7,0.6192764159457282,
adif,random,7,0.7197844782081859,0.21058404305887476
adif,cb_weighted,8,0.6192764159457282,
adif,cb_unweighted,8,1.0,
adif,random,8,0.772054423708719,0.20960256401722263
adif,cb_weighted,9,0.6192764159457282,
adif,cb_unweighted,9,1.0,
adif,random,9,0.9428914623918592,0.13594551132909496
adif,cb_weighted,10,1.0,
adif,cb_unweighted,10,1.0,
adif,random,10,1.0,0.0
