red,modo,f,k_nodos,C_fault_rel_mean,C_fault_rel_std,C_removal_rel_mean,C_removal_rel_std,frac_pares_cero_mean,ratio_fallo_eliminacion
cyl,M1_d0.9,0.01,1,0.9898846917451982,0.013440604157549578,0.9898846917451982,0.013440604157549578,0.0,1.0
cyl,M2_k1e3,0.01,1,0.9900138984101852,0.01345464078389214,0.9898846917451982,0.013440604157549578,0.00084,0.9872266211041456
cyl,M2_k1e4,0.01,1,0.9898846917451982,0.013440604157549578,0.9898846917451982,0.013440604157549578,0.020069999999999998,1.0
cyl,M1_d0.9,0.02,2,0.9810337707878997,0.019809186978346764,0.9810337707878997,0.019809186978346764,0.0,1.0
cyl,M2_k1e3,0.02,2,0.983046855509801,0.01914051780316468,0.9810337707878997,0.019809186978346764,0.00168,0.8938595173880436
cyl,M2_k1e4,0.02,2,0.9810337707878997,0.019809186978346764,0.9810337707878997,0.019809186978346764,0.043410000000000004,1.0
cyl,M1_d0.9,0.05,5,0.9519871586685952,0.04134898730790713,0.9519871586685952,0.04134898730790713,0.0,1.0
cyl,M2_k1e3,0.05,5,0.9568538419067639,0.04292882520230253,0.9519871586685952,0.04134898730790713,0.00378,0.8986378830493107
cyl,M2_k1e4,0.05,5,0.9519871586685952,0.04134898730790713,0.9519871586685952,0.04134898730790713,0.11306000000000001,1.0
cyl,M1_d0.9,0.1,10,0.8720854767084373,0.10710873130444022,0.8708547897991221,0.1160423847759075,0.0,0.990470518361456
cyl,M2_k1e3,0.1,10,0.9002952929504828,0.07798467599947458,0.8708547897991221,0.1160423847759075,0.0071400000000000005,0.7720356557895742
cyl,M2_k1e4,0.1,10,0.8708547897991221,0.1160423847759075,0.8708547897991221,0.1160423847759075,0.22150999999999998,1.0
cyl,M1_d0.9,0.15,15,0.7826775920579777,0.10125735813775369,0.7814469051486627,0.1096655875533094,0.0,0.994368933964755
cyl,M2_k1e3,0.15,15,0.831441464240461,0.07461301055569171,0.7814469051486627,0.1096655875533094,0.010920000000000001,0.7712475354064181
cyl,M2_k1e4,0.15,15,0.7814469051486627,0.1096655875533094,0.7814469051486627,0.1096655875533094,0.32472,1.0
cyl,M1_d0.9,0.2,20,0.6511119981226706,0.16907948562349104,0.6271480481836378,0.23174421730634745,0.0,0.935727975078871
cyl,M2_k1e3,0.2,20,0.770871367566438,0.06925898882581041,0.6271480481836378,0.23174421730634745,0.015120000000000001,0.614529792099393
cyl,M2_k1e4,0.2,20,0.6271480481836378,0.23174421730634745,0.6271480481836378,0.23174421730634745,0.4210000000000001,1.0
cyl,M1_d0.9,0.3,30,0.18329649240712784,0.07504316303940549,0.012119446656953551,0.08487371534428202,0.0,0.8267229320681523
cyl,M2_k1e3,0.3,30,0.6229280910558666,0.12996831004513118,0.012119446656953551,0.08487371534428202,0.0189,0.38169787599128224
cyl,M2_k1e4,0.3,30,0.012119446656953551,0.08487371534428202,0.012119446656953551,0.08487371534428202,0.6336700000000001,1.0
espana,M1_d0.9,0.01,10,0.9612004265947698,0.049999949798347765,0.9612004265947698,0.049999949798347765,0.0,1.0
espana,M2_k1e3,0.01,10,0.9684088848088231,0.04921863627290526,0.9612004265947698,0.049999949798347765,0.0001,0.8142129518083399
espana,M2_k1e4,0.01,10,0.9612004265947698,0.049999949798347765,0.9612004265947698,0.049999949798347765,0.021209999999999996,1.0
espana,M1_d0.9,0.02,19,0.9299340096355977,0.05174733005157542,0.9299340096355977,0.05174733005157542,0.0,1.0
espana,M2_k1e3,0.02,19,0.9405878386774319,0.056399278608864824,0.9299340096355977,0.05174733005157542,0.00025,0.8479457867301197
espana,M2_k1e4,0.02,19,0.9299340096355977,0.05174733005157542,0.9299340096355977,0.05174733005157542,0.03995499999999999,1.0
espana,M1_d0.9,0.05,48,0.8693662938027984,0.050035101755264134,0.8693662938027984,0.050035101755264134,0.0,1.0
espana,M2_k1e3,0.05,48,0.8833028179596554,0.05270958232726066,0.8693662938027984,0.050035101755264134,0.0005,0.893316016497161
espana,M2_k1e4,0.05,48,0.8693662938027984,0.050035101755264134,0.8693662938027984,0.050035101755264134,0.09863000000000001,1.0
espana,M1_d0.9,0.1,95,0.7889693897617087,0.045962536042399,0.7889693897617087,0.045962536042399,0.0,1.0
espana,M2_k1e3,0.1,95,0.8194611007336101,0.05026863773372574,0.7889693897617087,0.045962536042399,0.0009750000000000001,0.8555104828751109
espana,M2_k1e4,0.1,95,0.7889693897617087,0.045962536042399,0.7889693897617087,0.045962536042399,0.18990500000000002,1.0
espana,M1_d0.9,0.15,143,0.7331070213034819,0.038759718721105355,0.7331070213034819,0.038759718721105355,0.0,1.0
espana,M2_k1e3,0.15,143,0.7814666343483349,0.04429425172577092,0.7331070213034819,0.038759718721105355,0.0015,0.8188052256712146
espana,M2_k1e4,0.15,143,0.7331070213034819,0.038759718721105355,0.7331070213034819,0.038759718721105355,0.27948,1.0
espana,M1_d0.9,0.2,190,0.6626074582308386,0.07417544804504837,0.6605205713623619,0.08847432352255125,0.0,0.99385268533987
espana,M2_k1e3,0.2,190,0.745742410970146,0.04774012543534184,0.6605205713623619,0.08847432352255125,0.0019500000000000001,0.7489631700224453
espana,M2_k1e4,0.2,190,0.6605205713623619,0.08847432352255125,0.6605205713623619,0.08847432352255125,0.36201,1.0
