red,estrategia,k,C_rel,frac_pares_cero,C_rel_std
cyl,cb_weighted,1,0.9808670253913748,0.022,
cyl,cb_unweighted,1,1.0,0.019,
cyl,random,1,0.9906477538406427,0.021939999999999994,0.013576065534364972
cyl,cb_weighted,2,0.9634046388636789,0.035,
cyl,cb_unweighted,2,0.9929377363742219,0.039,
cyl,random,2,0.981428717209202,0.041339999999999995,0.016848095947803943
cyl,cb_weighted,5,0.9218278391267292,0.08,
cyl,cb_unweighted,5,0.9634046388636789,0.1,
cyl,random,5,0.9427292081823339,0.11254000000000002,0.04534450296526458
cyl,cb_weighted,10,0.7875669662487742,0.171,
cyl,cb_unweighted,10,0.7875669662487742,0.308,
cyl,random,10,0.8773879835122649,0.21784000000000003,0.0676075436490948
cyl,cb_weighted,20,0.0,0.671,
cyl,cb_unweighted,20,0.0,0.681,
cyl,random,20,0.6058255810868944,0.44338,0.25694127878059864
espana,cb_weighted,1,1.0,0.001,
espana,cb_unweighted,1,1.0,0.0015,
espana,random,1,0.99778984491948,0.00188,0.011684736461788131
espana,cb_weighted,2,1.0,0.0025,
espana,cb_unweighted,2,1.0,0.005,
espana,random,2,0.9953287327435605,0.0043300000000000005,0.02331887574083145
espana,cb_weighted,5,1.0,0.0095,
espana,cb_unweighted,5,0.9176028211216556,0.014,
espana,random,5,0.9816388859442869,0.0104,0.03657801448167496
espana,cb_weighted,10,0.9702256998201068,0.023,
espana,cb_unweighted,10,0.9176028211216556,0.0255,
espana,random,10,0.951604854343356,0.02048,0.058461603103094256
espana,cb_weighted,20,0.9702256998201068,0.0455,
espana,cb_unweighted,20,0.8741683262362357,0.043,
espana,random,20,0.9139673788571132,0.04160000000000001,0.0616560804078585
espana,cb_weighted,50,0.8095320107908074,0.1085,
espana,cb_unweighted,50,0.8095320107908074,0.1075,
espana,random,50,0.8693762493241479,0.10211,0.04785497886074663
adif,cb_weighted,1,1.0,0.007,
adif,cb_unweighted,1,1.0,0.025,
adif,random,1,0.9809920241710104,0.00482,0.07642902390566583
adif,cb_weighted,2,1.0,0.007,
adif,cb_unweighted,2,1.0,0.025,
adif,random,2,0.9645638817666642,0.01234,0.10400433731428825
adif,cb_weighted,5,1.0,0.037,
adif,cb_unweighted,5,0.8751752776449795,0.031,
adif,random,5,0.8223741307818834,0.030560000000000004,0.18882281160840703
adif,cb_weighted,10,0.4421795867027113,0.406,
adif,cb_unweighted,10,0.6192764159457282,0.051,
adif,random,10,0.7662696453658842,0.052360000000000004,0.18480037805196214
adif,cb_weighted,20,0.4421795867027113,0.44,
adif,cb_unweighted,20,0.6192764159457282,0.142,
adif,random,20,0.5370220641261491,0.14224,0.16284011717837538
adif,cb_weighted,50,0.0,0.76,
adif,cb_unweighted,50,0.0,0.836,
adif,random,50,0.2633650230430014,0.4397,0.2167054074471129
