red,idx,nodo_u,nodo_v
adif,0,02003,05602
adif,1,02003,15410
adif,2,02003,37113
adif,3,02003,50300
adif,4,02003,50709
adif,5,02003,82100
adif,6,02003,A8249
adif,7,02003,B0903
adif,8,02003,B5410
adif,9,02030,60900
adif,10,02030,B6505
adif,11,02030,XX003
adif,12,03100,56100
adif,13,03100,78400
adif,14,03100,B2301
adif,15,03216,50709
adif,16,03216,54400
adif,17,03216,B0105
adif,18,03310,13408
adif,19,03310,22308
adif,20,03310,55018
adif,21,03310,71707
adif,22,03310,74217
adif,23,03310,B3021
adif,24,03500,05447
adif,25,03500,10500
adif,26,04031,05803
adif,27,04031,70600
adif,28,04031,B0817
adif,29,04031,B5103
adif,30,04040,65000
adif,31,04040,82100
adif,32,04040,B2041
adif,33,04040,B3002
adif,34,04104,05600
adif,35,04104,11000
adif,36,04104,B2051
adif,37,04200,13506
adif,38,04200,56100
adif,39,04200,92102
adif,40,04200,A0843
adif,41,04200,A5101
adif,42,04200,B1702
adif,43,04200,B6100
adif,44,04200,B7181
adif,45,04313,05600
adif,46,04313,37500
adif,47,04313,A7070
adif,48,04313,A9060
adif,49,05019,05325
adif,50,05019,08223
adif,51,05019,60600
adif,52,05019,81200
adif,53,05223,05803
adif,54,05223,30000
adif,55,05223,XX011
adif,56,05226,A0180
adif,57,05226,B5601
adif,58,05308,54400
adif,59,05308,A0300
adif,60,05308,A0843
adif,61,05325,50700
adif,62,05325,B3122
adif,63,05329,A9820
adif,64,05389,67224
adif,65,05389,70803
adif,66,05389,B5703
adif,67,05405,55024
adif,68,05405,B1111
adif,69,05405,B1511
adif,70,05405,B4015
adif,71,05443,14100
adif,72,05443,50300
adif,73,05443,51416
adif,74,05443,97100
adif,75,05443,A7226
adif,76,05443,B6731
adif,77,05447,17000
adif,78,05447,50300
adif,79,05447,50512
adif,80,05447,64200
adif,81,05447,66212
adif,82,05447,A7086
adif,83,05447,B0810
adif,84,05451,11101
adif,85,05451,19003
adif,86,05451,20200
adif,87,05451,54412
adif,88,05451,60108
adif,89,05451,79300
adif,90,05451,79400
adif,91,05451,A6141
adif,92,05451,B0110
adif,93,05451,B1506
adif,94,05451,B8801
adif,95,05455,81209
adif,96,05455,B3200
adif,97,05461,22300
adif,98,05461,97100
adif,99,05473,14221
adif,100,05473,37113
adif,101,05473,37315
adif,102,05473,71403
adif,103,05473,72503
adif,104,05473,A7229
adif,105,05473,B5119
adif,106,05509,12100
adif,107,05509,79011
adif,108,05551,37803
adif,109,05551,60200
adif,110,05551,61210
adif,111,05551,B0201
adif,112,05551,B1804
adif,113,05552,21011
adif,114,05552,50500
adif,115,05552,79200
adif,116,05552,85214
adif,117,05552,A0660
adif,118,05552,B1509
adif,119,05552,B4015
adif,120,05600,07004
adif,121,05600,54413
adif,122,05600,70101
adif,123,05600,82100
adif,124,05600,A7002
adif,125,05600,B2301
adif,126,05602,37315
adif,127,05602,65002
adif,128,05602,B0820
adif,129,05602,B3002
adif,130,05602,XX001
adif,131,05655,51415
adif,132,05655,56312
adif,133,05655,65400
adif,134,05655,A9820
adif,135,05655,B5109
adif,136,05663,05671
adif,137,05663,10600
adif,138,05663,A6141
adif,139,05663,A7083
adif,140,05671,37315
adif,141,05671,69108
adif,142,05671,B3750
adif,143,05671,B4054
adif,144,05671,B5073
adif,145,05713,08224
adif,146,05713,10620
adif,147,05713,15205
adif,148,05713,15301
adif,149,05713,54517
adif,150,05713,B6722
adif,151,05754,10200
adif,152,05754,11300
adif,153,05754,16602
adif,154,05754,78800
adif,155,05754,A7083
adif,156,05770,20114
adif,157,05770,20603
adif,158,05770,50300
adif,159,05770,65013
adif,160,05770,B8801
adif,161,05770,XX018
adif,162,05779,18000
adif,163,05779,72100
adif,164,05779,A2240
adif,165,05779,A5040
adif,166,05779,B0109
adif,167,05803,20114
adif,168,05803,30100
adif,169,05803,70101
adif,170,05803,B0814
adif,171,05803,B5052
adif,172,07004,54412
adif,173,07004,71901
adif,174,07004,77310
adif,175,08223,70600
adif,176,08223,72507
adif,177,08223,A7190
adif,178,08223,B0824
adif,179,08223,B1611
adif,180,08223,B3500
adif,181,08223,XX001
adif,182,08224,65017
adif,183,08224,B3021
adif,184,08224,C3308
adif,185,08240,60200
adif,186,08240,B5701
adif,187,08244,10200
