red,idx,nodo_u,nodo_v
cyl,0,Adrada (La),Carpio
cyl,1,Adrada (La),Carrión de los Condes
cyl,2,Adrada (La),Cebreros
cyl,3,Adrada (La),Cubillos del Sil
cyl,4,Adrada (La),Espinar (El)
cyl,5,Adrada (La),Fermoselle
cyl,6,Adrada (La),Fuentes de Oñoro
cyl,7,Adrada (La),Herrera de Pisuerga
cyl,8,Adrada (La),Merindad de Río Ubierna
cyl,9,Adrada (La),Puente de Domingo Flórez
cyl,10,Adrada (La),Roa
cyl,11,Adrada (La),Salamanca
cyl,12,Adrada (La),Santovenia de la Valdoncina
cyl,13,Adrada (La),Traspinedo
cyl,14,Adrada (La),Valderas
cyl,15,Adrada (La),Velilla del Río Carrión
cyl,16,Adrada (La),Villaralbo
cyl,17,Adrada (La),Villasabariego
cyl,18,Adrada (La),Villoria
cyl,19,Adrada (La),Vitigudino
cyl,20,Adrada (La),Zaratán
cyl,21,Alberca (La),Berlanga de Duero
cyl,22,Alberca (La),Béjar
cyl,23,Alberca (La),Duruelo de la Sierra
cyl,24,Alberca (La),Lumbrales
cyl,25,Alberca (La),Mombeltrán
cyl,26,Alberca (La),Peñaranda de Bracamonte
cyl,27,Alberca (La),Pola de Gordón (La)
cyl,28,Alberca (La),Saldaña
cyl,29,Alberca (La),San Justo de la Vega
cyl,30,Alberca (La),Trabazos
cyl,31,Alberca (La),Traspinedo
cyl,32,Alberca (La),Trespaderne
cyl,33,Alberca (La),Valle de Mena
cyl,34,Alberca (La),Vitigudino
cyl,35,Alberca (La),Zaratán
cyl,36,Alberca (La),Ólvega
cyl,37,Aldeadávila de la Ribera,Benavente
cyl,38,Aldeadávila de la Ribera,Berlanga de Duero
cyl,39,Aldeadávila de la Ribera,Burgos
cyl,40,Aldeadávila de la Ribera,Duruelo de la Sierra
cyl,41,Aldeadávila de la Ribera,Ledesma
cyl,42,Aldeadávila de la Ribera,Lumbrales
cyl,43,Aldeadávila de la Ribera,Mombeltrán
cyl,44,Aldeadávila de la Ribera,Mozoncillo
cyl,45,Aldeadávila de la Ribera,Pedrajas de San Esteban
cyl,46,Aldeadávila de la Ribera,Peñaranda de Bracamonte
cyl,47,Aldeadávila de la Ribera,Sabero
cyl,48,Aldeadávila de la Ribera,Salas de los Infantes
cyl,49,Aldeadávila de la Ribera,Santovenia de la Valdoncina
cyl,50,Aldeadávila de la Ribera,Traspinedo
cyl,51,Aldeadávila de la Ribera,Valle de Mena
cyl,52,Aldeadávila de la Ribera,Vega de Espinareda
cyl,53,Aldeadávila de la Ribera,Villabrágima
cyl,54,Aldeadávila de la Ribera,Ólvega
cyl,55,Almazán,Barco de Ávila (El)
cyl,56,Almazán,Burgos
cyl,57,Almazán,Fuente de San Esteban (La)
cyl,58,Almazán,Lerma
cyl,59,Almazán,Miranda de Ebro
cyl,60,Almazán,Palencia
cyl,61,Almazán,Roa
cyl,62,Almazán,Salas de los Infantes
cyl,63,Almazán,San Cristóbal de Segovia
cyl,64,Almazán,Terradillos
cyl,65,Almazán,Trabazos
cyl,66,Almazán,Valderas
cyl,67,Almazán,Vega de Espinareda
cyl,68,Almazán,Velilla del Río Carrión
cyl,69,Aranda de Duero,Arévalo
cyl,70,Aranda de Duero,Barco de Ávila (El)
cyl,71,Aranda de Duero,Berlanga de Duero
cyl,72,Aranda de Duero,Burgos
cyl,73,Aranda de Duero,Cantalejo
cyl,74,Aranda de Duero,Carrión de los Condes
cyl,75,Aranda de Duero,Cervera de Pisuerga
cyl,76,Aranda de Duero,Fermoselle
cyl,77,Aranda de Duero,Fuentes de Oñoro
cyl,78,Aranda de Duero,Herrera de Pisuerga
cyl,79,Aranda de Duero,Mozoncillo
cyl,80,Aranda de Duero,Palencia
cyl,81,Aranda de Duero,Pedraja de Portillo (La)
cyl,82,Aranda de Duero,Peñaranda de Bracamonte
cyl,83,Aranda de Duero,Pola de Gordón (La)
cyl,84,Aranda de Duero,Sabero
cyl,85,Aranda de Duero,San Cristóbal de Segovia
cyl,86,Aranda de Duero,Santibáñez de Vidriales
cyl,87,Aranda de Duero,Soria
cyl,88,Aranda de Duero,Torquemada
cyl,89,Aranda de Duero,Traspinedo
cyl,90,Aranda de Duero,Vega de Espinareda
cyl,91,Aranda de Duero,Velilla del Río Carrión
cyl,92,Aranda de Duero,Viana de Cega
cyl,93,Aranda de Duero,Villabrágima
cyl,94,Aranda de Duero,Ávila
cyl,95,Aranda de Duero,Ólvega
cyl,96,Arcos de Jalón,Belorado
cyl,97,Arcos de Jalón,Carbonero el Mayor
cyl,98,Arcos de Jalón,Cubillos del Sil
cyl,99,Arcos de Jalón,Duruelo de la Sierra
cyl,100,Arcos de Jalón,Espinar (El)
cyl,101,Arcos de Jalón,Ledesma
cyl,102,Arcos de Jalón,Merindad de Río Ubierna
cyl,103,Arcos de Jalón,Nava de la Asunción
cyl,104,Arcos de Jalón,Palacios del Sil
cyl,105,Arcos de Jalón,Pedrajas de San Esteban
cyl,106,Arcos de Jalón,Saldaña
cyl,107,Arcos de Jalón,Santibáñez de Vidriales
cyl,108,Arcos de Jalón,Santovenia de Pisuerga
cyl,109,Arcos de Jalón,Valle de Mena
cyl,110,Arcos de Jalón,Vega de Espinareda
cyl,111,Arcos de Jalón,Villada
cyl,112,Arcos de Jalón,Villalpando
cyl,113,Arcos de Jalón,Villoria
cyl,114,Arcos de Jalón,Vitigudino
cyl,115,Arcos de Jalón,Ávila
cyl,116,Arcos de Jalón,Ólvega
cyl,117,Arévalo,Barruelo de Santullán
cyl,118,Arévalo,Benavente
cyl,119,Arévalo,Burgo de Osma-Ciudad de Osma
cyl,120,Arévalo,Cebreros
cyl,121,Arévalo,Fermoselle
cyl,122,Arévalo,Fuente de San Esteban (La)
cyl,123,Arévalo,Gradefes
cyl,124,Arévalo,Huerta de Rey
cyl,125,Arévalo,Lerma
cyl,126,Arévalo,Mozoncillo
cyl,127,Arévalo,Nava de la Asunción
cyl,128,Arévalo,Piedrahíta
cyl,129,Arévalo,Puebla de Sanabria
cyl,130,Arévalo,Salamanca
cyl,131,Arévalo,San Cristóbal de Segovia
cyl,132,Arévalo,San Leonardo de Yagüe
cyl,133,Arévalo,Santa Marina del Rey
cyl,134,Arévalo,Soria
cyl,135,Arévalo,Trabazos
cyl,136,Arévalo,Traspinedo
cyl,137,Arévalo,Valderas
cyl,138,Arévalo,Valle de Mena
cyl,139,Arévalo,Vega de Espinareda
cyl,140,Arévalo,Viana de Cega
cyl,141,Arévalo,Villadecanes
cyl,142,Arévalo,Villadiego
cyl,143,Arévalo,Villarcayo de Merindad de Castilla la Vieja
cyl,144,Barco de Ávila (El),Campaspero
cyl,145,Barco de Ávila (El),Cantalejo
cyl,146,Barco de Ávila (El),Carrión de los Condes
cyl,147,Barco de Ávila (El),Cervera de Pisuerga
cyl,148,Barco de Ávila (El),Fermoselle
cyl,149,Barco de Ávila (El),Fuentesaúco
cyl,150,Barco de Ávila (El),Merindad de Río Ubierna
cyl,151,Barco de Ávila (El),Peñaranda de Bracamonte
cyl,152,Barco de Ávila (El),Salamanca
cyl,153,Barco de Ávila (El),San Cristóbal de Segovia
cyl,154,Barco de Ávila (El),Santovenia de Pisuerga
