red,idx,nodo_u,nodo_v
espana,0,Abadiño,Nevada
espana,1,Abadiño,Rincón de Soto
espana,2,Abadiño,Sant Climent de Llobregat
espana,3,Abadiño,Sant Feliu de Pallerols
espana,4,Abadín,Ayamonte
espana,5,Abadín,Lardero
espana,6,Abadín,Monesterio
espana,7,Abadín,Valderas
espana,8,Abenójar,Arcos de Jalón
espana,9,Abenójar,Benissanet
espana,10,Abenójar,Caso
espana,11,Abenójar,Castrillón
espana,12,Abenójar,Cáseda
espana,13,Abenójar,Mazaricos
espana,14,Abenójar,Navalmoral de la Mata
espana,15,Abenójar,Níjar
espana,16,Abrucena,Arquillos
espana,17,Abrucena,Ferrol
espana,18,Abrucena,Lesaka
espana,19,Abrucena,Lora del Río
espana,20,Abrucena,Riells i Viabrea
espana,21,Abrucena,Torelló
espana,22,Aceuchal,Almudévar
espana,23,Aceuchal,Argoños
espana,24,Aceuchal,Guadalajara
espana,25,Aceuchal,Puerto de Santa María (El)
espana,26,Aceuchal,Tarifa
espana,27,Ademuz,Aínsa-Sobrarbe
espana,28,Ademuz,Roquetes
espana,29,Ademuz,Tabernas
espana,30,Ademuz,Villa del Río
espana,31,Ador,Ossa de Montiel
espana,32,Ador,Padrenda
espana,33,Ador,Vicedo (O)
espana,34,Ador,Yepes
espana,35,Adrada (La),Lozoyuela-Navas-Sieteiglesias
espana,36,Adrada (La),Valdecaballeros
espana,37,Agoncillo,Haro
espana,38,Agoncillo,Liétor
espana,39,Agoncillo,Mollet del Vallès
espana,40,Agoncillo,Pinseque
espana,41,Agudo,Arenas de San Juan
espana,42,Agudo,Chillón
espana,43,Agudo,Santa Marina del Rey
espana,44,Aguilar de Campoo,Aoiz/Agoitz
espana,45,Aguilar de Campoo,Chillón
espana,46,Aguilar de Campoo,Lahiguera
espana,47,Aguilar de Campoo,Meruelo
espana,48,Aguilar de Campoo,Santa Cruz de la Zarza
espana,49,Aguilar de Campoo,Tarifa
espana,50,Aiguafreda,Allande
espana,51,Aiguafreda,Cuéllar
espana,52,Aiguafreda,Horcajo de Santiago
espana,53,Aiguafreda,Soses
espana,54,Aiguafreda,Soutomaior
espana,55,Aiguafreda,Villa de Don Fadrique (La)
espana,56,Aiguafreda,Villamañán
espana,57,Ajalvir,Sondika
espana,58,Ajalvir,Villaverde del Río
espana,59,Ajofrín,Blanca
espana,60,Ajofrín,Cedeira
espana,61,Ajofrín,Galera
espana,62,Ajofrín,Ibias
espana,63,Ajofrín,Priego de Córdoba
espana,64,Ajofrín,Villanueva de la Fuente
espana,65,Alaejos,Casariche
espana,66,Alaejos,Laudio/Llodio
espana,67,Alar del Rey,Moraña
espana,68,Alar del Rey,Sant Feliu de Pallerols
espana,69,Alar del Rey,Soses
espana,70,Alba de Tormes,Bosque (El)
espana,71,Alba de Tormes,Castillo de Bayuela
espana,72,Alba de Tormes,Cocentaina
espana,73,Alba de Tormes,Mejorada
espana,74,Alba de Tormes,Puebla de Don Fadrique
espana,75,Alba de Tormes,Sant Antoni de Vilamajor
espana,76,Alba de Tormes,Torrejón de la Calzada
espana,77,Albaida,Carranque
espana,78,Albaida,Paderne
espana,79,Albaida,Priego de Córdoba
espana,80,Albaida,Roquetes
espana,81,Albaida,Ultzama
espana,82,Albaida,Villalón de Campos
espana,83,Albalate de Cinca,Cifuentes
espana,84,Albalate de Cinca,Puebla de Guzmán
espana,85,Albalate de Cinca,Real de la Jara (El)
espana,86,Albalate de Cinca,Santa Pola
espana,87,Albalate de Cinca,Villada
espana,88,Albalate de Zorita,Bujaraloz
espana,89,Albalate de Zorita,Guardia (La)
espana,90,Albalate de Zorita,Isona i Conca Dellà
espana,91,Albalate de Zorita,Madrigal de la Vera
espana,92,Albalate de Zorita,Puebla de Alfindén (La)
espana,93,Albanchez de Mágina,Legutiano
espana,94,Albanchez de Mágina,Rosal (O)
espana,95,Albanchez de Mágina,Santo Domingo de la Calzada
espana,96,Albelda de Iregua,Elda
espana,97,Albelda de Iregua,Galera
espana,98,Albelda de Iregua,Martín de la Jara
espana,99,Albelda de Iregua,Orgaz
espana,100,Alberca (La),Amposta
espana,101,Alberca (La),Baños de Molgas
espana,102,Alberca (La),Cobisa
espana,103,Alberca (La),Lumbier
espana,104,Alberca (La),Paradas
espana,105,Alberca (La),Sant Guim de Freixenet
espana,106,Alberca (La),Vejer de la Frontera
espana,107,Alberca (La),Villanueva de la Fuente
espana,108,Alberca de Záncara (La),Ledesma
espana,109,Alberca de Záncara (La),Paderne
espana,110,Albocàsser,Altorricón
espana,111,Albocàsser,Campdevànol
espana,112,Albocàsser,León
espana,113,Albocàsser,Ogíjares
espana,114,Albocàsser,Pulpí
espana,115,Albocàsser,Uceda
espana,116,Alborache,Llanes
espana,117,Alborache,Mazaricos
espana,118,Alborache,Melgar de Fernamental
espana,119,Alborache,Villalpardo
espana,120,Alborache,Vélez-Blanco
espana,121,Alcalalí,Alcúdia de Crespins (l')
espana,122,Alcalalí,Allande
espana,123,Alcalalí,Bélmez de la Moraleda
espana,124,Alcalalí,Cardeña
espana,125,Alcalalí,Guadalupe
espana,126,Alcalalí,Pilas
espana,127,Alcalà de Xivert,Pol
espana,128,Alcalá de los Gazules,Caudete
espana,129,Alcalá de los Gazules,Ordizia
espana,130,Alcanar,Anchuelo
espana,131,Alcanar,Astillero (El)
espana,132,Alcanar,Guijuelo
espana,133,Alcanar,Nava de la Asunción
espana,134,Alcanar,Portomarín
espana,135,Alcanar,Priego de Córdoba
espana,136,Alcaraz,Tineo
espana,137,Alcaucín,Pulpí
espana,138,Alcaucín,Riola
espana,139,Alcaucín,San Roque
espana,140,Alcaucín,Villalpardo
espana,141,Alcaudete de la Jara,San Fernando
espana,142,Alcaudete de la Jara,Soses
espana,143,Alcaudete de la Jara,Villanueva de la Serena
espana,144,Alcañiz,Santo Tomé
espana,145,Alcobendas,Aliseda
espana,146,Alcobendas,Monesterio
espana,147,Alcobendas,Santo Domingo de la Calzada
espana,148,Alconchel,Castellar
espana,149,Alconchel,Cerro de Andévalo (El)
espana,150,Alconchel,Liétor
espana,151,Alconchel,Rinconada (La)
espana,152,Alcora (l'),Añora
espana,153,Alcora (l'),Pol
espana,154,Alcora (l'),Vedra
espana,155,Alcora (l'),Villares (Los)
espana,156,Alcántara,Rojales
espana,157,Alcántara,Santo Domingo de la Calzada
espana,158,Alcántara,Segura
espana,159,Alcántara,Trijueque
espana,160,Alcúdia de Crespins (l'),Benaoján
espana,161,Alcúdia de Crespins (l'),Benavente
espana,162,Alcúdia de Crespins (l'),Montiel
espana,163,Alcúdia de Crespins (l'),Pobra de Trives (A)
espana,164,Alcúdia de Crespins (l'),San Carlos del Valle
espana,165,Aldeadávila de la Ribera,Haro
espana,166,Aldeadávila de la Ribera,Lumpiaque
espana,167,Aldeanueva de la Vera,Benissanet
espana,168,Aldeanueva de la Vera,Bonrepòs i Mirambell
espana,169,Aldeanueva de la Vera,Camporrobles
espana,170,Aldeanueva de la Vera,Laracha (A)
espana,171,Aldeanueva de la Vera,Níjar
espana,172,Aldeanueva de la Vera,Paderne
espana,173,Aldeanueva de la Vera,Pilas
espana,174,Aldeanueva de la Vera,Polán
espana,175,Aldeanueva de la Vera,Soses
espana,176,Aldeanueva de la Vera,Tafalla
espana,177,Alfarràs,Arboleas
espana,178,Alfarràs,Cheles
espana,179,Alfarràs,Malpartida de Cáceres
espana,180,Alfarràs,Paderne
espana,181,Alforja,Cervera de Pisuerga
espana,182,Alforja,Ferrol
espana,183,Alforja,Pantoja
espana,184,Alforja,Roquetes
espana,185,Alforja,Santa Bárbara de Casa
espana,186,Alforja,Utiel
espana,187,Algar,Bollullos Par del Condado
espana,188,Algar,Cabana de Bergantiños
espana,189,Algar,Cerdedo
espana,190,Algar,Lasarte-Oria
espana,191,Algar,Roquetas de Mar
espana,192,Alguazas,Bélmez de la Moraleda
espana,193,Alguazas,Casinos
espana,194,Algámitas,Bullas
espana,195,Algámitas,Cangas de Onís
espana,196,Algámitas,Orgaz
espana,197,Algámitas,Peñalsordo
espana,198,Algámitas,Valverde de Leganés
espana,199,Alhama de Aragón,Híjar
espana,200,Alhama de Aragón,Paderne
espana,201,Alhama de Aragón,Paradas
espana,202,Alhaurín de la Torre,Caniles
espana,203,Alhaurín de la Torre,Cantalpino
espana,204,Alhaurín de la Torre,Cee
espana,205,Alicante/Alacant,Almazán
espana,206,Alicante/Alacant,Bullas
espana,207,Alicante/Alacant,Casserres
espana,208,Alicante/Alacant,Flix
espana,209,Alicante/Alacant,Miguelturra
espana,210,Alicante/Alacant,Orcera
espana,211,Alicante/Alacant,Sarrión
espana,212,Alicante/Alacant,Villadiego
espana,213,Aliseda,Badajoz
espana,214,Aliseda,Covelo
espana,215,Aliseda,Iruña Oka/Iruña de Oca
espana,216,Aliseda,Siruela
espana,217,Allande,Cabana de Bergantiños
espana,218,Allande,Ejido (El)
espana,219,Allande,Valdecaballeros
