Q,comunidad,k,k1_count,k_max,k_max_count,nodos,paper,provincia,tabla
,C1,,,,,8,Communities,Segovia,Table2_CyL
,C2,,,,,8,Communities,Zamora,Table2_CyL
,C3,,,,,9,Communities,Burgos,Table2_CyL
,C4,,,,,9,Communities,Salamanca,Table2_CyL
,C5,,,,,11,Communities,Palencia,Table2_CyL
,C6,,,,,12,Communities,Ávila,Table2_CyL
,C7,,,,,13,Communities,León,Table2_CyL
,C8,,,,,14,Communities,Soria,Table2_CyL
,C9,,,,,16,Communities,Valladolid,Table2_CyL
0.7413,,9,,,,,Communities,,Louvain_CyL
,,,4,6,7,,Communities,,Kcore_CyL
,S1,,,,,105,Communities,,Table3_ESP
,S2,,,,,97,Communities,,Table3_ESP
,S3,,,,,94,Communities,,Table3_ESP
,S4,,,,,90,Communities,,Table3_ESP
,S5,,,,,83,Communities,,Table3_ESP
,S6,,,,,82,Communities,,Table3_ESP
,S7,,,,,82,Communities,,Table3_ESP
,S8,,,,,81,Communities,,Table3_ESP
,S9,,,,,62,Communities,,Table3_ESP
,S10,,,,,56,Communities,,Table3_ESP
,S11,,,,,51,Communities,,Table3_ESP
,S12,,,,,28,Communities,,Table3_ESP
,S13,,,,,17,Communities,,Table3_ESP
,S14,,,,,17,Communities,,Table3_ESP
,S15,,,,,5,Communities,,Table3_ESP
0.855,,13,,,,,Communities,,Louvain_ESP
,,,3,13,35,,Communities,,Kcore_ESP
